,"r",0,"js","diff"
"1",0,0,0,
"2",0,0,0,
"3",0,0,0,
"4",0,0,0,
"5",0,0,0,
"6",0,0,0,
"7",0,0,0,
"8",0,0,0,
"9",0,0,0,
"10",0,0,0,
"11",0,0,0,
"12",0,0,0,
"13",0,0,0,
"14",0,0,0,
"15",14675280.0117858,14675280,14675280,0.011785799637437
"16",37.4287491943687,14675320,40,-2.5712508056313
"17",37.6693236045539,14675360,40,-2.3306763954461
"18",38.564584184438,14675390,30,8.564584184438
"19",51.6522250398993,14675450,59.9999999981374,-8.34777495823806
"20",72.9065735023469,14675520,70.0000000018626,2.90657350048426
"21",96.1794228497893,14675610,89.9999999981374,6.17942285165195
"22",122.682231266052,14675740,130.000000001863,-7.31776873581065
"23",169.77582336776,14675910,170,-0.224176632239988
"24",227.190771128982,14676130,220,7.19077112898199
"25",287.802153518423,14676420,290.000000001863,-2.19784648343966
"26",350.112937657163,14676770,349.999999996275,0.112937660888292
"27",398.185876810923,14677170,400.000000001863,-1.81412319093965
"28",430.152185870335,14677600,430,0.152185870335018
"29",460.24868135713,14678060,460,0.24868135713001
"30",488.437893332914,14678550,490,-1.56210666708603
"31",500.453037736937,14679050,500,0.453037736937006
"32",469.615762440488,14679520,470,-0.384237559511973
"33",439.604704603553,14679960,439.999999998137,-0.395295394584366
"34",413.563622334972,14680370,410.000000001863,3.56362233310938
"35",389.11406904459,14680760,390,-0.885930955410004
"36",350.926618840545,14681110,350,0.926618840545018
"37",312.713826203719,14681430,320,-7.28617379628099
"38",279.277018969879,14681700,270,9.27701896987901
"39",249.566586777568,14681950,250,-0.433413222431994
"40",208.798966931179,14682160,210,-1.201033068821
"41",160.302146989852,14682320,160,0.302146989851991
"42",118.391120906919,14682440,119.999999998137,-1.60887909121836
"43",81.0899082124233,14682520,80.0000000037253,1.08990820869801
"44",59.6120385639369,14682580,59.9999999981374,-0.387961434200456
"45",39.4657576195896,14682620,40,-0.534242380410397
"46",0,14682620,0,0
"47",0,14682620,0,0
"48",0,14682620,0,0
"49",0,14682620,0,0
"50",0,14682620,0,0
"51",0,14682620,0,0
