,"R","JS","tafavot"
"139",2086.599,2088.119,-1.51999999999953
"140",2072.28,2073.947,-1.66699999999992
"141",2046.985,2048.759,-1.77400000000011
"142",2012.835,2014.69,-1.85499999999979
"143",1970.925,1972.841,-1.91599999999994
"144",1922.078,1924.031,-1.95299999999975
"145",1866.025,1867.993,-1.96799999999985
"146",1800.524,1802.485,-1.96100000000001
"147",1723.245,1725.172,-1.92700000000013
"148",1622.569,1624.7,-2.13099999999986
"149",1457.447,1459.405,-1.95799999999986
"150",1265.705,1267.428,-1.72300000000018
"151",1064.165,1065.617,-1.452
"152",885.527,886.7352,-1.20820000000003
"153",736.877,737.8814,-1.00440000000003
"154",613.179,614.015,-0.836000000000013
"155",510.246,510.9418,-0.69580000000002
"156",424.592,425.1712,-0.579200000000071
"157",353.317,353.7988,-0.481799999999964
"158",294.007,294.4078,-0.400800000000004
"159",244.653,244.9865,-0.333500000000015
"160",203.584,203.861,-0.276999999999987
"161",169.408,169.6394,-0.231400000000008
"162",140.97,141.1623,-0.192300000000017
"163",117.306,117.466,-0.160000000000011
"164",97.614,97.74726,-0.133259999999993
"165",81.228,81.33867,-0.110670000000013
"166",67.592,67.68447,-0.092470000000006
"167",69.894,69.99532,-0.101320000000001
"168",101.031,101.1922,-0.161199999999994
"169",148.159,148.407,-0.248000000000019
"170",201.043,201.3875,-0.344500000000011
"171",244.927,245.3501,-0.423100000000034
"172",283.464,283.955,-0.490999999999985
"173",324.517,325.0735,-0.556500000000028
"174",379.963,380.429,-0.465999999999951
"175",476.234,476.7676,-0.533599999999979
"176",634.813,635.5082,-0.6952
"177",864.093,865.0445,-0.95150000000001
"178",1153.955,1155.317,-1.36200000000008
"179",1472.219,1473.921,-1.702
"180",1788.245,1790.256,-2.01099999999997
"181",2078.259,2080.529,-2.26999999999998
"182",2325.418,2327.885,-2.4670000000001
"183",2520.636,2523.241,-2.60500000000002
"184",2660.85,2663.531,-2.68100000000004
"185",2747.473,2750.188,-2.71500000000015
"186",2785.686,2788.393,-2.70699999999988
"187",2783.295,2785.981,-2.68600000000015
"188",2749.327,2751.963,-2.63599999999951
"189",2694.141,2696.699,-2.55799999999954
"190",2628.835,2631.306,-2.471
"191",2562.691,2565.106,-2.41500000000042
"192",2498.729,2501.076,-2.34700000000021
"193",2437.726,2439.997,-2.27099999999973
"194",2381.418,2383.621,-2.20299999999952
"195",2330.243,2332.389,-2.14600000000019
"196",2269.788,2271.878,-2.09000000000015
"197",2180.07,2182.089,-2.01899999999978
"198",2055.329,2057.249,-1.92000000000007
"199",1883.783,1885.557,-1.77400000000011
"200",1669.992,1671.19,-1.19800000000009
"201",1474.38,1475.499,-1.11899999999991
"202",1299.767,1300.805,-1.03800000000001
"203",1144.567,1145.523,-0.956000000000131
"204",1006.069,1007.068,-0.999000000000137
"205",875.071,875.9503,-0.879300000000058
"206",751.665,752.4282,-0.763200000000097
"207",625.485,626.1201,-0.635099999999966
"208",520.486,521.0145,-0.528500000000008
"209",433.114,433.553,-0.439000000000078
"210",360.408,360.7734,-0.365399999999966
"211",299.907,300.2111,-0.304100000000062
"212",249.563,249.8154,-0.252400000000023
"213",207.669,207.8796,-0.210599999999999
"214",172.808,172.9835,-0.1755
"215",143.8,143.9451,-0.145099999999985
"216",119.66,119.7814,-0.121399999999994
"217",118.743,118.8834,-0.1404
"218",124.848,124.9982,-0.150199999999998
"219",128.748,128.9046,-0.156599999999997
"220",130.869,131.0299,-0.160899999999998
"221",131.564,131.7271,-0.163099999999986
"222",133.241,133.4062,-0.16519999999997
"223",142.073,142.2509,-0.177899999999994
"224",160.882,161.0845,-0.202499999999986
"225",190.96,191.2003,-0.240299999999991
"226",252.742,253.1552,-0.413200000000018
"227",370.654,371.2399,-0.585899999999981
"228",563.909,564.7038,-0.794800000000009
"229",836.848,837.8879,-1.03989999999999
"230",1174.674,1176.132,-1.45800000000008
"231",1536.35,1538.048,-1.69799999999987
"232",1890.016,1891.906,-1.8900000000001
"233",2215.693,2217.73,-2.03699999999981
"234",2500.571,2502.713,-2.14199999999983
"235",2747.232,2749.442,-2.21000000000004
"236",2954.061,2956.307,-2.24599999999964
"237",3110.437,3112.684,-2.24699999999984
"238",3211.735,3213.959,-2.22399999999971
"239",3259.834,3262.052,-2.2180000000003
"240",3261.349,3263.555,-2.20600000000013
"241",3225.835,3227.998,-2.16300000000001
"242",3165.917,3168.038,-2.12100000000009
"243",3092.509,3094.644,-2.13500000000022
"244",3008.538,3010.636,-2.09799999999996
"245",2915.994,2918.055,-2.06099999999969
"246",2816.199,2818.224,-2.02499999999964
"247",2708.142,2710.135,-1.99300000000039
"248",2596.493,2598.441,-1.94800000000032
"249",2485.861,2487.762,-1.90100000000029
"250",2372.974,2374.822,-1.84799999999996
"251",2254.382,2256.168,-1.78600000000006
"252",2114.758,2116.736,-1.97800000000007
"253",1908.093,1909.932,-1.83899999999994
"254",1670.27,1671.907,-1.63699999999994
"255",1436.738,1438.163,-1.42499999999973
"256",1195.557,1196.743,-1.18600000000015
"257",994.863,995.8494,-0.98639999999989
"258",827.858,828.6781,-0.820100000000025
"259",688.887,689.5698,-0.682800000000043
"260",573.245,573.8134,-0.568399999999997
"261",477.015,477.4887,-0.473700000000008
"262",396.94,397.3339,-0.393900000000031
"263",330.306,330.6347,-0.328700000000026
"264",274.859,275.132,-0.272999999999968
"265",228.719,228.9461,-0.227100000000036
"266",190.325,190.5134,-0.188400000000001
"267",158.375,158.5323,-0.157299999999992
"268",131.789,131.9199,-0.130900000000025
"269",109.666,109.7749,-0.108900000000006
"270",91.257,91.34728,-0.090280000000007
"271",75.938,76.01301,-0.075010000000006
"272",63.19,63.25287,-0.062870000000004
"273",52.583,52.63475,-0.051749999999998
"274",43.756,43.79905,-0.043050000000001
"275",62.567,62.63766,-0.070660000000004
"276",114.156,114.2971,-0.141099999999994
"277",194.574,194.8221,-0.248099999999994
"278",310.527,311.132,-0.605000000000018
"279",475.116,475.9552,-0.839200000000062
"280",716.139,717.229,-1.09000000000003
"281",1044.27,1045.612,-1.3420000000001
"282",1438.737,1440.551,-1.81399999999985
"283",1838.992,1840.97,-1.97800000000007
"284",2205.5,2207.573,-2.07299999999987
"285",2518.482,2520.601,-2.11900000000014
"286",2768.453,2770.58,-2.12699999999995
"287",2945.472,2947.595,-2.12299999999959
"288",3051.551,3053.667,-2.11599999999999
"289",3102.251,3104.358,-2.10699999999997
"290",3112.243,3114.338,-2.09500000000025
"291",3095.092,3097.151,-2.0590000000002
"292",3063.573,3065.624,-2.05100000000039
"293",3025.085,3027.127,-2.04199999999992
