,"x",,
"152",0,-1.742308E-17,1.742308E-17
"153",0,-1.725755E-17,1.725755E-17
"154",0,-1.709359E-17,1.709359E-17
"155",0,-1.693119E-17,1.693119E-17
"156",0,-1.677033E-17,1.677033E-17
"157",0,-1.6611E-17,1.6611E-17
"158",0,-1.645318E-17,1.645318E-17
"159",0,-1.629686E-17,1.629686E-17
"160",0,-1.614203E-17,1.614203E-17
"161",0,-1.598867E-17,1.598867E-17
"162",0,-1.583677E-17,1.583677E-17
"163",0,-1.568631E-17,1.568631E-17
"164",0,-1.553727E-17,1.553727E-17
"165",0,-1.538966E-17,1.538966E-17
"166",0,-1.524345E-17,1.524345E-17
"167",0,-1.509862E-17,1.509862E-17
"168",0,-1.495517E-17,1.495517E-17
"169",0,1.745063E-09,-1.745063E-09
"170",0,-6.276211E-11,6.276211E-11
"171",0,3.578086E-05,-3.578086E-05
"172",0,0.0001168094,-0.0001168094
"173",0,0.0002003305,-0.0002003305
"174",0,0.000365681,-0.000365681
"175",0.001,0.000567351,0.000432649
"176",0.001,0.0007552824,0.0002447176
"177",0.001,0.0009227249,7.72750999999999E-05
"178",0.001,0.001052452,-5.24520000000001E-05
"179",0.001,0.001133262,-0.000133262
"180",0.001,0.001191873,-0.000191873
"181",0.001,0.0012287,-0.0002287
"182",0.001,0.001245062,-0.000245062
"183",0.001,0.001247377,-0.000247377
"184",0.001,0.001232562,-0.000232562
"185",0.001,0.001203724,-0.000203724
"186",0.001,0.001164264,-0.000164264
"187",0.001,0.001065511,-6.55110000000001E-05
"188",0.001,0.0009583142,4.16858E-05
"189",0.001,0.0008710163,0.0001289837
"190",0.001,0.0008003056,0.0001996944
"191",0.001,0.000729278,0.000270722
"192",0.001,0.0006461109,0.0003538891
"193",0.001,0.0005781113,0.0004218887
"194",0.001,0.0005205492,0.0004794508
"195",0,0.0004696467,-0.0004696467
"196",0,0.0003624961,-0.0003624961
"197",0,0.0002505034,-0.0002505034
"198",0,0.0001253217,-0.0001253217
"199",0,9.443676E-09,-9.443676E-09
"200",0,-3.478739E-14,3.478739E-14
"201",0,-1.486787E-18,1.486787E-18
"202",0,1.046053E-21,-1.046053E-21
"203",0,6.580081E-25,-6.580081E-25
"204",0,6.517566E-25,-6.517566E-25
"205",0,6.455644E-25,-6.455644E-25
"206",0,6.394311E-25,-6.394311E-25
"207",0,6.33356E-25,-6.33356E-25
"208",0,6.273386E-25,-6.273386E-25
"209",0,6.213785E-25,-6.213785E-25
"210",0,6.154749E-25,-6.154749E-25
"211",0,6.096275E-25,-6.096275E-25
"212",0,6.038355E-25,-6.038355E-25
"213",0,5.980987E-25,-5.980987E-25
"214",0,5.924163E-25,-5.924163E-25
"215",0,5.867879E-25,-5.867879E-25
"216",0,5.81213E-25,-5.81213E-25
