"","time","1","2","3"
"1",0,1,0,0
"2",1,0.966462045687751,3.07467663007861e-05,0.0335072075459485
"3",2,0.941616009750092,2.70188164631194e-05,0.0583569714334446
"4",3,0.921895376316525,2.43845660986434e-05,0.0780802391173759
"5",4,0.905533293442441,2.24065524277703e-05,0.0944443000051312
"6",5,0.891534636267707,2.08545693935306e-05,0.108444509162899
"7",6,0.879289847036543,1.95969795078727e-05,0.120690555983948
"8",7,0.86839416296345,1.85518803455223e-05,0.131587285156204
"9",8,0.858566694131786,1.76656860730156e-05,0.14141564018214
"10",9,0.849610060243882,1.69013058688021e-05,0.150373038450249
"11",10,0.841379906769895,1.62347281669913e-05,0.158603858501938
"12",11,0.83376215380708,1.56459613483637e-05,0.166222200231572
