,"r","js",,"Relative err"
"1",0,0,0,"#DIV/0!"
"2",0,0,0,"#DIV/0!"
"3",0,0,0,"#DIV/0!"
"4",0,0,0,"#DIV/0!"
"5",0,0,0,"#DIV/0!"
"6",0,0,0,"#DIV/0!"
"7",0,0,0,"#DIV/0!"
"8",0,0,0,"#DIV/0!"
"9",0,0,0,"#DIV/0!"
"10",0,0,0,"#DIV/0!"
"11",0,0,0,"#DIV/0!"
"12",0,0,0,"#DIV/0!"
"13",0,0,0,"#DIV/0!"
"14",0,0,0,"#DIV/0!"
"15",134025.556861198,134025.573941755,-0.017080557328882,-1.2744253953424E-07
"16",1.78444227352156,1.78449874537182,-5.64718502604755E-05,-3.16467789955623E-05
"17",1.79821512923809,1.79826458165189,-4.94524138026087E-05,-2.75008329084417E-05
"18",3.65932799121947,3.66132270847447,-0.001994717255002,-0.000545104800605
"19",91.6703266309923,91.6881745698047,-0.017847938812381,-0.000194697013399
"20",231.366471352143,231.313889962097,0.052581390045845,0.000227264519956
"21",374.580302724877,374.522435582243,0.057867142634109,0.00015448527916
"22",528.003490644856,528.485175969952,-0.481685325096237,-0.000912276781557
"23",797.48085512605,798.306820567057,-0.825965441007043,-0.001035718206522
"24",1105.43616218076,1105.16925031159,0.266911869168098,0.000241453896932
"25",1400.95778221585,1400.59464053248,0.363141683370713,0.000259209583601
"26",1670.38962253631,1669.80842870721,0.581193829097629,0.000347939080354
"27",1824.6279643563,1824.07468562014,0.553278736156017,0.000303228245409
"28",1865.44379788608,1864.81636274559,0.627435140485659,0.000336346311369
"29",1875.7071357661,1875.00779467373,0.699341092370787,0.000372841302907
"30",1857.24002888612,1856.46978230766,0.77024657846323,0.000414726457799
"31",1755.1291595842,1756.17510432712,-1.04594474292162,-0.000595936052461
"32",1487.19043188557,1486.281259424,0.909172461575054,0.000611335604427
"33",1250.95072051138,1250.12963663306,0.821083878315676,0.000656367884724
"34",1055.25722588017,1054.49789642112,0.759329459051287,0.000719568120861
