,"R","js",
"136",35.306,35.32782,-0.021820000000005
"137",35.282,35.30403,-0.022030000000001
"138",35.31,35.33302,-0.023019999999995
"139",35.386,35.40997,-0.023969999999999
"140",35.422,35.44667,-0.024670000000001
"141",35.396,35.42121,-0.025210000000001
"142",35.251,35.27629,-0.025290000000005
"143",34.936,34.96127,-0.025269999999999
"144",34.494,34.51928,-0.025280000000002
"145",33.958,33.98257,-0.024570000000004
"146",33.348,33.37216,-0.024159999999995
"147",32.68,32.70408,-0.024079999999998
"148",31.952,31.97619,-0.024189999999997
"149",31.139,31.16172,-0.022720000000003
"150",30.404,30.42684,-0.022839999999999
"151",29.687,29.70928,-0.022279999999999
"152",28.987,29.00865,-0.021650000000001
"153",28.304,28.32455,-0.02055
"154",27.636,27.65657,-0.020570000000003
"155",26.984,27.00435,-0.020349999999994
"156",26.348,26.36751,-0.01951
"157",25.727,25.74569,-0.01869
"158",25.12,25.13853,-0.018530000000002
"159",24.527,24.5457,-0.018699999999999
"160",23.949,23.96684,-0.01784
"161",23.384,23.40163,-0.017630000000001
"162",22.833,22.84975,-0.016750000000002
"163",22.294,22.31089,-0.01689
"164",21.769,21.78474,-0.015740000000001
"165",21.255,21.27099,-0.015989999999999
"166",20.754,20.76936,-0.015359999999998
"167",20.265,20.27956,-0.01456
"168",19.787,19.80131,-0.014310000000002
"169",19.288,19.30249,-0.014489999999999
"170",18.808,18.8224,-0.014399999999999
"171",18.357,18.37066,-0.013660000000002
"172",17.933,17.94598,-0.012979999999999
"173",17.534,17.54692,-0.012920000000001
"174",17.165,17.17735,-0.012350000000002
"175",16.84,16.85241,-0.012409999999999
"176",16.557,16.56932,-0.012319999999999
"177",16.311,16.32285,-0.011849999999999
"178",16.094,16.10646,-0.012459999999997
"179",15.896,15.90815,-0.01215
"180",15.709,15.72082,-0.01182
"181",15.533,15.54511,-0.01211
"182",15.39,15.40214,-0.012139999999999
"183",15.286,15.29785,-0.011850000000001
"184",15.226,15.23745,-0.011449999999998
"185",15.215,15.22698,-0.011980000000001
"186",15.262,15.27382,-0.01182
"187",15.362,15.37533,-0.013329999999998
"188",15.492,15.50487,-0.01287
"189",15.653,15.6668,-0.013799999999998
"190",15.851,15.86518,-0.01418
"191",16.084,16.09906,-0.015060000000002
"192",16.317,16.33349,-0.016489999999998
"193",16.539,16.5558,-0.0168
"194",16.744,16.76114,-0.017140000000001
"195",16.923,16.94117,-0.018169999999998
"196",16.967,16.98525,-0.018250000000002
"197",16.841,16.85925,-0.018250000000002
"198",16.587,16.60558,-0.01858
"199",16.235,16.25285,-0.017849999999999
"200",15.82,15.83682,-0.016819999999999
"201",15.402,15.419,-0.017000000000001
"202",14.992,15.00858,-0.016579999999999
"203",14.612,14.62824,-0.016239999999998
"204",14.268,14.28326,-0.01526
"205",13.931,13.94642,-0.015419999999999
"206",13.603,13.61753,-0.014530000000001
"207",13.282,13.29639,-0.014390000000001
"208",12.969,12.98282,-0.013820000000001
"209",12.663,12.67665,-0.01365
"210",12.364,12.3777,-0.0137
"211",12.073,12.08579,-0.012790000000001
"212",11.788,11.80078,-0.012779999999999
"213",11.51,11.52248,-0.01248
"214",11.239,11.25075,-0.011749999999999
"215",10.974,10.98542,-0.011419999999999
"216",10.715,10.72635,-0.01135
"217",10.462,10.4734,-0.0114
"218",10.215,10.2264,-0.0114
"219",9.974,9.985236,-0.011236
"220",9.739,9.749756,-0.010755999999999
"221",9.51,9.519829,-0.009829
"222",9.285,9.295324,-0.010324000000001
"223",9.065,9.075075,-0.010075000000001
"224",8.837,8.846125,-0.009125000000001
"225",8.655,8.664762,-0.009762
"226",8.518,8.527657,-0.009656999999999
"227",8.413,8.422022,-0.009022
"228",8.334,8.343741,-0.009741
"229",8.279,8.288857,-0.009857
"230",8.243,8.252306,-0.009306
"231",8.212,8.222008,-0.010008000000001
"232",8.183,8.192806,-0.009805999999999
"233",8.152,8.162349,-0.010349000000002
"234",8.119,8.128528,-0.009528
"235",8.094,8.104296,-0.010296
"236",8.104,8.113985,-0.009985
"237",8.15,8.160875,-0.010875000000001
"238",8.238,8.249053,-0.011053000000001
"239",8.36,8.371216,-0.011216000000001
"240",8.481,8.49307,-0.01207
"241",8.605,8.617602,-0.012601999999999
"242",8.735,8.74738,-0.01238
"243",8.868,8.881305,-0.013304999999999
"244",8.99,9.004064,-0.014063999999999
"245",9.067,9.080761,-0.013761000000001
"246",9.069,9.082744,-0.013743999999999
"247",9.013,9.026783,-0.013783
"248",8.918,8.931563,-0.013563000000001
"249",8.797,8.810563,-0.013563
"250",8.655,8.668641,-0.013641
"251",8.496,8.509655,-0.013655
"252",8.319,8.332241,-0.013240999999999
"253",8.113,8.126267,-0.013267000000001
"254",7.917,7.929462,-0.012462
"255",7.73,7.742462,-0.012461999999999
"256",7.548,7.559873,-0.011873
"257",7.37,7.381589,-0.011589
"258",7.196,7.20751,-0.01151
"259",7.026,7.037537,-0.011537000000001
"260",6.861,6.871572,-0.010572000000001
"261",6.699,6.70952,-0.01052
"262",6.541,6.551291,-0.010291
"263",6.387,6.396792,-0.009791999999999
"264",6.236,6.245938,-0.009938
"265",6.089,6.098641,-0.009640999999999
"266",5.945,5.954817,-0.009817
"267",5.805,5.814386,-0.009386
"268",5.668,5.677266,-0.009265999999999
"269",5.535,5.54338,-0.00838
"270",5.404,5.412651,-0.008651
"271",5.277,5.285005,-0.008005
"272",5.152,5.16037,-0.00837
"273",5.031,5.038673,-0.007673
"274",4.912,4.919847,-0.007847
"275",4.796,4.803823,-0.007822999999999
"276",4.683,4.690195,-0.007195
"277",4.568,4.574981,-0.006981000000001
"278",4.481,4.488156,-0.007156
"279",4.415,4.422576,-0.007576
"280",4.369,4.375894,-0.006894
"281",4.338,4.345548,-0.007548
"282",4.321,4.327881,-0.006881
"283",4.306,4.313623,-0.007623
"284",4.292,4.299393,-0.007393
"285",4.286,4.292961,-0.006961
"286",4.292,4.298802,-0.006802
"287",4.305,4.312433,-0.007433000000001
"288",4.323,4.330002,-0.007002
"289",4.346,4.35346,-0.00746
"290",4.377,4.384273,-0.007273000000001
"291",4.417,4.424366,-0.007366
"292",4.469,4.477381,-0.008381
"293",4.536,4.544132,-0.008132000000001
"294",4.617,4.625102,-0.008102
"295",4.71,4.718507,-0.008507
"296",4.785,4.793727,-0.008726999999999
"297",4.811,4.820324,-0.009324
"298",4.795,4.804113,-0.009113
"299",4.746,4.75496,-0.008959999999999
"300",4.679,4.688163,-0.009163
"301",4.606,4.614753,-0.008753
"302",4.527,4.535824,-0.008824
"303",4.444,4.452305,-0.008305
"304",4.355,4.363655,-0.008654999999999
"305",4.258,4.266672,-0.008672
"306",4.154,4.162349,-0.008349
"307",4.046,4.053798,-0.007797999999999
"308",3.95,3.958198,-0.008198
"309",3.857,3.864852,-0.007852
"310",3.766,3.773708,-0.007708
"311",3.677,3.684713,-0.007713
"312",3.591,3.597817,-0.006817
"313",3.506,3.51297,-0.00697
"314",3.423,3.430124,-0.007124
"315",3.343,3.349232,-0.006232
"316",3.264,3.270248,-0.006248
"317",3.187,3.193126,-0.006126
"318",3.112,3.117823,-0.005823
"319",3.038,3.044296,-0.006296
"320",2.967,2.972502,-0.005502
"321",2.897,2.902402,-0.005402
"322",2.828,2.833955,-0.005955
"323",2.762,2.767123,-0.005123
"324",2.697,2.701866,-0.004866
"325",2.633,2.638148,-0.005148
"326",2.571,2.575933,-0.004933
"327",2.51,2.515185,-0.005185
"328",2.451,2.45587,-0.00487
"329",2.393,2.397954,-0.004954
"330",2.332,2.337027,-0.005027
"331",2.286,2.29066,-0.00466
"332",2.257,2.26105,-0.00405
"333",2.243,2.247061,-0.004061
"334",2.241,2.245976,-0.004976
"335",2.243,2.247705,-0.004705
"336",2.244,2.248759,-0.004759
"337",2.247,2.251098,-0.004098
"338",2.254,2.258187,-0.004187
"339",2.264,2.268687,-0.004687
"340",2.277,2.281757,-0.004757
"341",2.294,2.298805,-0.004805
"342",2.316,2.321133,-0.005133
"343",2.345,2.34989,-0.00489
"344",2.381,2.386046,-0.005046
"345",2.425,2.430481,-0.005481
"346",2.479,2.483961,-0.004961
"347",2.541,2.546258,-0.005258
"348",2.601,2.60636,-0.00536
"349",2.655,2.66063,-0.00563
"350",2.689,2.695296,-0.006296
"351",2.7,2.706148,-0.006148
"352",2.689,2.694968,-0.005968
"353",2.657,2.663599,-0.006599
"354",2.61,2.616418,-0.006418
"355",2.551,2.556494,-0.005494
"356",2.485,2.490707,-0.005707
"357",2.426,2.431969,-0.005969
"358",2.369,2.374616,-0.005616
"359",2.313,2.318616,-0.005616
"360",2.259,2.263937,-0.004937
"361",2.205,2.210546,-0.005546
"362",2.153,2.158415,-0.005415
"363",2.103,2.107514,-0.004514
"364",2.053,2.057813,-0.004813
"365",2.005,2.009284,-0.004284
"366",1.957,1.961899,-0.004899
"367",1.911,1.915632,-0.004632
"368",1.866,1.870456,-0.004456
"369",1.822,1.826345,-0.004345
"370",1.779,1.783275,-0.004275
"371",1.737,1.74122,-0.00422
"372",1.696,1.700157,-0.004157
"373",1.656,1.660062,-0.004062
"374",1.617,1.620913,-0.003913
"375",1.579,1.582688,-0.003688
"376",1.542,1.545363,-0.003363
"377",1.505,1.508919,-0.003919
"378",1.47,1.473335,-0.003335
"379",1.435,1.437894,-0.002894
"380",1.4,1.403591,-0.003591
"381",1.376,1.379333,-0.003333
"382",1.361,1.363743,-0.002743
"383",1.35,1.352743,-0.002743
"384",1.342,1.345431,-0.003431
"385",1.338,1.341106,-0.003106
"386",1.336,1.339055,-0.003055
"387",1.336,1.338873,-0.002873
"388",1.337,1.33981,-0.00281
"389",1.34,1.343405,-0.003405
"390",1.349,1.351822,-0.002822
"391",1.36,1.363734,-0.003734
"392",1.375,1.378161,-0.003161
"393",1.393,1.396021,-0.003021
"394",1.415,1.418199,-0.003199
"395",1.442,1.445362,-0.003362
"396",1.474,1.477731,-0.003731
"397",1.512,1.515949,-0.003949
"398",1.557,1.560619,-0.003619
"399",1.607,1.611486,-0.004486
"400",1.654,1.658756,-0.004756
"401",1.695,1.699349,-0.004349
"402",1.72,1.724855,-0.004855
"403",1.727,1.731228,-0.004228
"404",1.72,1.724937,-0.004937
"405",1.706,1.710479,-0.004479
"406",1.685,1.689393,-0.004393
"407",1.658,1.662883,-0.004883
"408",1.626,1.630855,-0.004855
"409",1.587,1.591129,-0.004129
"410",1.549,1.552858,-0.003858
"411",1.512,1.516237,-0.004237
"412",1.476,1.48048,-0.00448
"413",1.442,1.445566,-0.003566
"414",1.408,1.411475,-0.003475
"415",1.374,1.378189,-0.004189
"416",1.342,1.345687,-0.003687
"417",1.31,1.313952,-0.003952
"418",1.279,1.282965,-0.003965
"419",1.249,1.252709,-0.003709
"420",1.22,1.223167,-0.003167
"421",1.191,1.194321,-0.003321
"422",1.163,1.166155,-0.003155
"423",1.136,1.138654,-0.002654
"424",1.109,1.111801,-0.002801
"425",1.083,1.085582,-0.002582
"426",1.057,1.059981,-0.002981
"427",1.032,1.034983,-0.002983
"428",1.008,1.010576,-0.002576
"429",0.984,0.9867433,-0.0027433
"430",0.959,0.9619341,-0.0029341
"431",0.936,0.9389237,-0.0029237
"432",0.918,0.9202456,-0.0022456
"433",0.903,0.905722,-0.002722
"434",0.893,0.8949869,-0.0019869
"435",0.885,0.8874131,-0.0024131
"436",0.88,0.8825281,-0.0025281
"437",0.877,0.8798174,-0.0028174
"438",0.876,0.878669,-0.002669
"439",0.875,0.8778657,-0.0028657
"440",0.874,0.8768434,-0.0028434
"441",0.874,0.8763878,-0.0023878
"442",0.877,0.8789964,-0.0019964
"443",0.883,0.8849989,-0.0019989
"444",0.892,0.8947378,-0.0027378
"445",0.906,0.9087967,-0.0027967
"446",0.925,0.927838,-0.002838
"447",0.949,0.951538,-0.002538
"448",0.974,0.9771725,-0.0031725
"449",1.002,1.004928,-0.002928
"450",1.032,1.034994,-0.002994
"451",1.064,1.067389,-0.003389
"452",1.099,1.102275,-0.003275
"453",1.136,1.139517,-0.003517
"454",1.175,1.178823,-0.003823
"455",1.216,1.219858,-0.003858
"456",1.247,1.250695,-0.003695
"457",1.259,1.263282,-0.004282
"458",1.258,1.261884,-0.003884
"459",1.246,1.249533,-0.003533
"460",1.225,1.228331,-0.003331
"461",1.196,1.199647,-0.003647
"462",1.167,1.170394,-0.003394
"463",1.139,1.142793,-0.003793
"464",1.112,1.115843,-0.003843
"465",1.086,1.089528,-0.003528
"466",1.061,1.063834,-0.002834
"467",1.036,1.038745,-0.002745
"468",1.011,1.014249,-0.003249
"469",0.987,0.99033,-0.00333
"470",0.964,0.9669751,-0.0029751
"471",0.941,0.9441711,-0.0031711
"472",0.919,0.9219049,-0.0029049
"473",0.897,0.9001637,-0.0031637
"474",0.876,0.8789353,-0.0029353
"475",0.856,0.8582075,-0.0022075
"476",0.835,0.8379685,-0.0029685
"477",0.816,0.8182068,-0.0022068
"478",0.796,0.7989111,-0.0029111
"479",0.778,0.7800705,-0.0020705
"480",0.759,0.7616742,-0.0026742
"481",0.741,0.7437119,-0.0027119
"482",0.723,0.7252601,-0.0022601
"483",0.708,0.7104689,-0.0024689
"484",0.7,0.7019274,-0.0019274
"485",0.697,0.6993281,-0.0023281
"486",0.699,0.7013677,-0.0023677
"487",0.703,0.7051353,-0.0021353
"488",0.708,0.7099594,-0.0019594
"489",0.713,0.7153485,-0.0023485
"490",0.719,0.720818,-0.001818
"491",0.725,0.7271998,-0.0021998
"492",0.734,0.7364035,-0.0024035
"493",0.746,0.74878,-0.00278
"494",0.762,0.7648216,-0.0028216
"495",0.781,0.7832333,-0.0022333
"496",0.8,0.8028232,-0.0028232
"497",0.822,0.8242007,-0.0022007
"498",0.845,0.8477904,-0.0027904
"499",0.872,0.8748515,-0.0028515
"500",0.906,0.908885,-0.002885
"501",0.947,0.9506222,-0.0036222
"502",0.997,1.000676,-0.003676
"503",1.055,1.058897,-0.003897
"504",1.111,1.114369,-0.003369
"505",1.16,1.164082,-0.004082
"506",1.202,1.205921,-0.003921
"507",1.225,1.229569,-0.004569
"508",1.236,1.240405,-0.004405
"509",1.239,1.243837,-0.004837
"510",1.237,1.241166,-0.004166
"511",1.229,1.23345,-0.00445
"512",1.217,1.221115,-0.004115
"513",1.199,1.203662,-0.004662
"514",1.178,1.181885,-0.003885
"515",1.152,1.15648,-0.00448
"516",1.124,1.127908,-0.003908
"517",1.096,1.100352,-0.004352
"518",1.071,1.074403,-0.003403
"519",1.045,1.049065,-0.004065
"520",1.021,1.024325,-0.003325
"521",0.997,1.000169,-0.003169
"522",0.973,0.976582,-0.003582
"523",0.95,0.9535515,-0.0035515
"524",0.928,0.931064,-0.003064
"525",0.906,0.9091068,-0.0031068
"526",0.885,0.8876675,-0.0026675
"527",0.864,0.8667338,-0.0027338
"528",0.843,0.8462937,-0.0032937
"529",0.823,0.8263357,-0.0033357
"530",0.804,0.8068483,-0.0028483
"531",0.785,0.7878205,-0.0028205
"532",0.767,0.7692415,-0.0022415
"533",0.747,0.7496003,-0.0026003
"534",0.728,0.7309946,-0.0029946
"535",0.712,0.714064,-0.002064
"536",0.696,0.6987382,-0.0027382
"537",0.683,0.6849351,-0.0019351
"538",0.671,0.673387,-0.002387
"539",0.664,0.6665994,-0.0025994
"540",0.662,0.6643703,-0.0023703
"541",0.664,0.6660444,-0.0020444
"542",0.668,0.6705076,-0.0025076
"543",0.672,0.673934,-0.001934
"544",0.673,0.6755377,-0.0025377
"545",0.676,0.6780241,-0.0020241
"546",0.68,0.6827319,-0.0027319
"547",0.688,0.6908436,-0.0028436
"548",0.701,0.7037052,-0.0027052
"549",0.719,0.7219582,-0.0029582
"550",0.744,0.7463783,-0.0023783
"551",0.775,0.7773619,-0.0023619
"552",0.811,0.8141953,-0.0031953
"553",0.855,0.8577252,-0.0027252
"554",0.906,0.9089609,-0.0029609
"555",0.964,0.9680727,-0.0040727
"556",1.021,1.024376,-0.003376
"557",1.07,1.074233,-0.004233
"558",1.106,1.110513,-0.004513
"559",1.122,1.126354,-0.004354
"560",1.128,1.131946,-0.003946
"561",1.13,1.134324,-0.004324
"562",1.13,1.133864,-0.003864
"563",1.127,1.130902,-0.003902
"564",1.119,1.123588,-0.004588
"565",1.102,1.106344,-0.004344
"566",1.077,1.080769,-0.003769
"567",1.051,1.054759,-0.003759
"568",1.026,1.029885,-0.003885
"569",1.002,1.005597,-0.003597
"570",0.978,0.9818825,-0.0038825
"571",0.955,0.9587269,-0.0037269
"572",0.933,0.9361174,-0.0031174
"573",0.911,0.914041,-0.003041
"574",0.889,0.8924853,-0.0034853
"575",0.868,0.871438,-0.003438
"576",0.848,0.850887,-0.002887
"577",0.828,0.8308206,-0.0028206
"578",0.808,0.8112275,-0.0032275
"579",0.789,0.7920965,-0.0030965
"580",0.77,0.7734166,-0.0034166
"581",0.752,0.7551772,-0.0031772
"582",0.735,0.737368,-0.002368
"583",0.717,0.7199787,-0.0029787
"584",0.7,0.7029996,-0.0029996
"585",0.684,0.6864208,-0.0024208
"586",0.667,0.66908,-0.00208
"587",0.65,0.6523731,-0.0023731
"588",0.636,0.6381252,-0.0021252
"589",0.624,0.6262432,-0.0022432
"590",0.615,0.6172612,-0.0022612
"591",0.611,0.6131095,-0.0021095
"592",0.611,0.6134859,-0.0024859
"593",0.615,0.6176693,-0.0026693
"594",0.622,0.6247901,-0.0027901
"595",0.632,0.6344173,-0.0024173
"596",0.644,0.6466617,-0.0026617
"597",0.659,0.6619249,-0.0029249
"598",0.678,0.6808119,-0.0028119
"599",0.7,0.7032986,-0.0032986
"600",0.726,0.7295071,-0.0035071
"601",0.757,0.760436,-0.003436
"602",0.794,0.7971096,-0.0031096
"603",0.836,0.8398327,-0.0038327
"604",0.883,0.887148,-0.004148
"605",0.935,0.9396272,-0.0046272
"606",0.993,0.9978419,-0.0048419
"607",1.057,1.061701,-0.004701
"608",1.119,1.124574,-0.005574
"609",1.178,1.183783,-0.005783
"610",1.225,1.230474,-0.005474
"611",1.251,1.256742,-0.005742
"612",1.262,1.268019,-0.006019
"613",1.262,1.268242,-0.006242
"614",1.254,1.259538,-0.005538
"615",1.238,1.24352,-0.00552
"616",1.217,1.22212,-0.00512
"617",1.193,1.198343,-0.005343
"618",1.167,1.172662,-0.005662
"619",1.14,1.145309,-0.005309
"620",1.111,1.116261,-0.005261
"621",1.085,1.089877,-0.004877
"622",1.059,1.064174,-0.005174
"623",1.034,1.039078,-0.005078
"624",1.01,1.014574,-0.004574
"625",0.986,0.990647,-0.004647
"626",0.963,0.9672847,-0.0042847
"627",0.94,0.9444733,-0.0044733
"628",0.918,0.9222,-0.0042
"629",0.896,0.9004519,-0.0044519
"630",0.875,0.8792166,-0.0042166
"631",0.855,0.8584822,-0.0034822
"632",0.834,0.8382367,-0.0042367
"633",0.815,0.8184687,-0.0034687
"634",0.795,0.7991669,-0.0041669
"635",0.777,0.7803202,-0.0033202
"636",0.758,0.7619181,-0.0039181
"637",0.741,0.7439499,-0.0029499
"638",0.723,0.7264054,-0.0034054
"639",0.705,0.7083812,-0.0033812
"640",0.688,0.691001,-0.003001
"641",0.674,0.6771407,-0.0031407
"642",0.664,0.6675508,-0.0035508
"643",0.662,0.6648551,-0.0028551
"644",0.666,0.6687042,-0.0027042
"645",0.675,0.6781093,-0.0031093
"646",0.689,0.6920921,-0.0030921
"647",0.706,0.7097305,-0.0037305
"648",0.727,0.7307072,-0.0037072
"649",0.752,0.7555965,-0.0035965
"650",0.782,0.7853661,-0.0033661
"651",0.815,0.8188141,-0.0038141
"652",0.851,0.855056,-0.004056
"653",0.891,0.8956297,-0.0046297
"654",0.937,0.9418406,-0.0048406
"655",0.991,0.9956813,-0.0046813
"656",1.056,1.061133,-0.005133
"657",1.135,1.139942,-0.004942
"658",1.228,1.233937,-0.005937
"659",1.337,1.343732,-0.006732
"660",1.444,1.451182,-0.007182
"661",1.543,1.550527,-0.007527
"662",1.632,1.639723,-0.007723
"663",1.692,1.700194,-0.008194
"664",1.719,1.727588,-0.008588
"665",1.723,1.730819,-0.007819
"666",1.707,1.714986,-0.007986
"667",1.676,1.683694,-0.007694
"668",1.634,1.641799,-0.007799
"669",1.591,1.598322,-0.007322
"670",1.551,1.557882,-0.006882
"671",1.514,1.521143,-0.007143
"672",1.478,1.48527,-0.00727
"673",1.443,1.450243,-0.007243
"674",1.409,1.416042,-0.007042
"675",1.376,1.382648,-0.006648
"676",1.344,1.350041,-0.006041
"677",1.312,1.318203,-0.006203
"678",1.281,1.287116,-0.006116
"679",1.251,1.256762,-0.005762
"680",1.221,1.227124,-0.006124
"681",1.193,1.198185,-0.005185
"682",1.164,1.169928,-0.005928
"683",1.137,1.142338,-0.005338
"684",1.11,1.115399,-0.005399
"685",1.084,1.089094,-0.005094
"686",1.058,1.06341,-0.00541
"687",1.033,1.038332,-0.005332
"688",1.009,1.013845,-0.004845
"689",0.985,0.9899359,-0.0049359
"690",0.962,0.9665904,-0.0045904
"691",0.939,0.9437789,-0.0047789
"692",0.917,0.9216155,-0.0046155
"693",0.905,0.9096423,-0.0046423
"694",0.902,0.9062397,-0.0042397
"695",0.901,0.9057772,-0.0047772
"696",0.903,0.9074724,-0.0044724
"697",0.907,0.9109294,-0.0039294
"698",0.912,0.9158869,-0.0038869
"699",0.919,0.9236742,-0.0046742
"700",0.93,0.9340385,-0.0040385
"701",0.942,0.9460809,-0.0040809
"702",0.954,0.9589336,-0.0049336
"703",0.97,0.974687,-0.004687
"704",0.99,0.9951708,-0.0051708
"705",1.016,1.021183,-0.005183
"706",1.049,1.053679,-0.004679
"707",1.088,1.093143,-0.005143
"708",1.133,1.138693,-0.005693
"709",1.186,1.191293,-0.005293
"710",1.246,1.252037,-0.006037
"711",1.315,1.321315,-0.006315
"712",1.384,1.390908,-0.006908
"713",1.451,1.45803,-0.00703
"714",1.505,1.512185,-0.007185
"715",1.537,1.544584,-0.007584
