,"R","js",
"716",1.554,1.561044,-0.007044
"717",1.558,1.565812,-0.007812
"718",1.554,1.561085,-0.007085
"719",1.541,1.548584,-0.007584
"720",1.521,1.528719,-0.007719
"721",1.493,1.499904,-0.006904
"722",1.456,1.463447,-0.007447
"723",1.421,1.428129,-0.007129
"724",1.388,1.394449,-0.006449
"725",1.355,1.361564,-0.006564
"726",1.323,1.329455,-0.006455
"727",1.292,1.298102,-0.006102
"728",1.261,1.267489,-0.006489
"729",1.232,1.237598,-0.005598
"730",1.203,1.208412,-0.005412
"731",1.174,1.179914,-0.005914
"732",1.147,1.152089,-0.005089
"733",1.119,1.124919,-0.005919
"734",1.093,1.09839,-0.00539
"735",1.067,1.072487,-0.005487
"736",1.042,1.047195,-0.005195
"737",1.018,1.022499,-0.004499
"738",0.994,0.9983854,-0.0043854
"739",0.97,0.9748406,-0.0048406
"740",0.947,0.9518511,-0.0048511
"741",0.925,0.9294037,-0.0044037
"742",0.903,0.9074858,-0.0044858
"743",0.882,0.8860847,-0.0040847
"744",0.86,0.8642659,-0.0042659
"745",0.845,0.8489403,-0.0039403
"746",0.837,0.8409184,-0.0039184
"747",0.833,0.8375018,-0.0045018
"748",0.834,0.8379269,-0.0039269
"749",0.837,0.8414852,-0.0044852
"750",0.843,0.847262,-0.004262
"751",0.849,0.8530549,-0.0040549
"752",0.854,0.8580373,-0.0040373
"753",0.861,0.8646948,-0.0036948
"754",0.872,0.8762266,-0.0042266
"755",0.888,0.8926605,-0.0046605
"756",0.91,0.914088,-0.004088
"757",0.937,0.9412507,-0.0042507
"758",0.97,0.9749599,-0.0049599
"759",1.01,1.014907,-0.004907
"760",1.053,1.057982,-0.004982
"761",1.099,1.104282,-0.005282
"762",1.148,1.153926,-0.005926
"763",1.201,1.206823,-0.005823
"764",1.257,1.262694,-0.005694
"765",1.306,1.312146,-0.006146
"766",1.341,1.347623,-0.006623
"767",1.365,1.371601,-0.006601
"768",1.377,1.383429,-0.006429
"769",1.376,1.383162,-0.007162
"770",1.367,1.373355,-0.006355
"771",1.349,1.355907,-0.006907
"772",1.325,1.331831,-0.006831
"773",1.295,1.30105,-0.00605
"774",1.263,1.268832,-0.005832
"775",1.233,1.238909,-0.005909
"776",1.204,1.209692,-0.005692
"777",1.175,1.181164,-0.006164
"778",1.148,1.153309,-0.005309
"779",1.121,1.126111,-0.005111
"780",1.094,1.099554,-0.005554
"781",1.068,1.073623,-0.005623
"782",1.043,1.048304,-0.005304
"783",1.019,1.023582,-0.004582
"784",0.995,0.9994432,-0.0044432
"785",0.971,0.9758734,-0.0048734
"786",0.948,0.9528595,-0.0048595
"787",0.926,0.9303884,-0.0043884
"788",0.904,0.9084472,-0.0044472
"789",0.883,0.8870234,-0.0040234
"790",0.862,0.8661049,-0.0041049
"791",0.842,0.8456796,-0.0036796
"792",0.822,0.8257361,-0.0037361
"793",0.802,0.8062629,-0.0042629
"794",0.783,0.7872489,-0.0042489
"795",0.765,0.7685866,-0.0035866
"796",0.746,0.7500826,-0.0040826
"797",0.734,0.7377071,-0.0037071
"798",0.727,0.7305999,-0.0035999
"799",0.722,0.7259247,-0.0039247
"800",0.72,0.723151,-0.003151
"801",0.718,0.7219138,-0.0039138
"802",0.718,0.7218655,-0.0038655
"803",0.719,0.7230376,-0.0040376
"804",0.722,0.7250568,-0.0030568
"805",0.725,0.7283701,-0.0033701
"806",0.733,0.7361436,-0.0031436
"807",0.745,0.7489988,-0.0039988
"808",0.764,0.7674825,-0.0034825
"809",0.789,0.7925406,-0.0035406
"810",0.821,0.8253235,-0.0043235
"811",0.861,0.8648487,-0.0038487
"812",0.9,0.9047698,-0.0047698
"813",0.94,0.9450086,-0.0050086
"814",0.98,0.9853391,-0.0053391
"815",1.02,1.025434,-0.005434
"816",1.065,1.069812,-0.004812
"817",1.114,1.119252,-0.005252
"818",1.157,1.162493,-0.005493
"819",1.19,1.195521,-0.005521
"820",1.211,1.216619,-0.005619
"821",1.219,1.225254,-0.006254
"822",1.218,1.224119,-0.006119
"823",1.209,1.215237,-0.006237
"824",1.194,1.199989,-0.005989
"825",1.173,1.179137,-0.006137
"826",1.148,1.153619,-0.005619
"827",1.119,1.124249,-0.005249
"828",1.092,1.097509,-0.005509
"829",1.066,1.071626,-0.005626
"830",1.041,1.046354,-0.005354
"831",1.017,1.021678,-0.004678
"832",0.993,0.9975843,-0.0045843
"833",0.969,0.9740584,-0.0050584
"834",0.946,0.9510873,-0.0050873
"835",0.924,0.9286579,-0.0046579
"836",0.902,0.9067575,-0.0047575
"837",0.881,0.8853736,-0.0043736
"838",0.86,0.8644939,-0.0044939
"839",0.84,0.8441067,-0.0041067
"840",0.82,0.8242003,-0.0042003
"841",0.801,0.8047633,-0.0037633
"842",0.782,0.7857846,-0.0037846
"843",0.763,0.7672536,-0.0042536
"844",0.745,0.7491596,-0.0041596
"845",0.726,0.730083,-0.004083
"846",0.709,0.7123368,-0.0033368
"847",0.695,0.6985407,-0.0035407
"848",0.685,0.6885549,-0.0035549
"849",0.679,0.6821158,-0.0031158
"850",0.675,0.6786728,-0.0036728
"851",0.674,0.6772452,-0.0032452
"852",0.674,0.6773424,-0.0033424
"853",0.675,0.6784916,-0.0034916
"854",0.677,0.6802172,-0.0032172
"855",0.681,0.684389,-0.003389
"856",0.69,0.6931345,-0.0031345
"857",0.704,0.707043,-0.003043
"858",0.723,0.726903,-0.003903
"859",0.749,0.7523152,-0.0033152
"860",0.779,0.7829367,-0.0039367
"861",0.816,0.8198135,-0.0038135
"862",0.86,0.8640136,-0.0040136
"863",0.911,0.9157462,-0.0047462
"864",0.968,0.9730988,-0.0050988
"865",1.031,1.036582,-0.005582
"866",1.101,1.106721,-0.005721
"867",1.177,1.183181,-0.006181
"868",1.251,1.256913,-0.005913
"869",1.317,1.323838,-0.006838
"870",1.363,1.369457,-0.006457
"871",1.385,1.391626,-0.006626
"872",1.391,1.397823,-0.006823
"873",1.386,1.393246,-0.007246
"874",1.373,1.379845,-0.006845
"875",1.352,1.359115,-0.007115
"876",1.325,1.331986,-0.006986
"877",1.292,1.298806,-0.006806
"878",1.261,1.267644,-0.006644
"879",1.232,1.237749,-0.005749
"880",1.203,1.20856,-0.00556
"881",1.174,1.180058,-0.006058
"882",1.146,1.152229,-0.006229
"883",1.119,1.125056,-0.006056
"884",1.093,1.098524,-0.005524
"885",1.067,1.072618,-0.005618
"886",1.042,1.047323,-0.005323
"887",1.018,1.022624,-0.004624
"888",0.994,0.9985074,-0.0045074
"889",0.97,0.9749597,-0.0049597
"890",0.947,0.9519674,-0.0049674
"891",0.925,0.9295173,-0.0045173
"892",0.903,0.9075966,-0.0045966
"893",0.882,0.8861929,-0.0041929
"894",0.861,0.8652939,-0.0042939
"895",0.841,0.8448878,-0.0038878
"896",0.821,0.8249629,-0.0039629
"897",0.801,0.805508,-0.004508
"898",0.782,0.7859259,-0.0039259
"899",0.763,0.7670271,-0.0040271
"900",0.75,0.7534611,-0.0034611
"901",0.741,0.7450628,-0.0040628
"902",0.738,0.7415227,-0.0035227
"903",0.739,0.7424322,-0.0034322
"904",0.743,0.7471558,-0.0041558
"905",0.751,0.7549283,-0.0039283
"906",0.761,0.7648316,-0.0038316
"907",0.771,0.7752166,-0.0042166
"908",0.783,0.7873315,-0.0043315
"909",0.8,0.803806,-0.003806
"910",0.821,0.825262,-0.004262
"911",0.847,0.8510607,-0.0040607
"912",0.876,0.8807474,-0.0047474
"913",0.911,0.9154121,-0.0044121
"914",0.951,0.9561493,-0.0051493
"915",0.999,1.003529,-0.004529
"916",1.052,1.056846,-0.004846
"917",1.111,1.116855,-0.005855
"918",1.178,1.184334,-0.006334
"919",1.253,1.259362,-0.006362
"920",1.328,1.334343,-0.006343
"921",1.399,1.40643,-0.00743
"922",1.459,1.46624,-0.00724
"923",1.495,1.502705,-0.007705
"924",1.514,1.521869,-0.007869
"925",1.521,1.528296,-0.007296
"926",1.517,1.524401,-0.007401
"927",1.505,1.512065,-0.007065
"928",1.485,1.492504,-0.007504
"929",1.459,1.466153,-0.007153
"930",1.427,1.434007,-0.007007
"931",1.39,1.397133,-0.007133
"932",1.357,1.364125,-0.007125
"933",1.325,1.331955,-0.006955
"934",1.294,1.300544,-0.006544
"935",1.264,1.269873,-0.005873
"936",1.234,1.239926,-0.005926
