p,omega,delta,mu_e,mu_ql,mu_el,mu_qn,mu_en,mu_qa,mu_ea,mu_h,beta_nh,beta_hl,beta_hn,lambda_l,lambda_n,lambda_a,alpha,f_l,f_n,f_a,kappa,c,Tf,obsprob,T_min_l,gamma,E0,QL0,EL_s0,EL_i0,QN_s0,QN_i0,EN_s0,EN_i0,QA_s0,QA_i0,EA0,H_s0,H_i0,LogLik
2000,14.271407504640191,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.0027397260273972603,0.9,0.8,0.8,0.003612989203295495,0.0030560335922766003,21.53601313829763,1660,0.5507509975787866,0.9999984626793113,0.32019996611562485,0.00009546995002784713,0.4,4,0.9757624241664289,16.70277743857561,0.3333333333333333,0.002917614982836061,117787.07660371928,0.009182924521249343,0.0007470327529135772,2689605.5814053817,2.0778086896925676,0.003000844802196586,0.3759748254413498,11925.965178625587,0.9718034185841598,64287.513720643125,0.0030655800647753483,0.9950934942976903,-1295.091592
2000,15.398280877952446,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.0027397260273972603,0.9,0.8,0.8,0.006089702643142717,0.001904361022618434,28.194858008048957,1660,0.45207937957529687,0.8797935800974954,0.25375820153472056,0.00004474357165831235,0.4,4,0.9811002557263693,13.165099674133929,0.3333333333333333,4.237471668681794,0.013346152314208975,0.14679671621518098,0.0005499005071193503,3.9273100657326103,309.3448105047205,44.925197960111596,1193.4415895156862,2089.039421793214,17.198178088521324,6958419.521219421,0.059472978403714655,0.9296735825734739,-1302.887666
2000,17.24654829013349,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.0027397260273972603,0.9,0.8,0.8,0.005365539654512867,0.0020833578195353147,35.67464086968838,1660,0.5340283718605247,0.9362339978903258,0.2057875550527674,0.000041246457826068775,0.4,4,0.9617552033753166,13.21356578909455,0.3333333333333333,0.7292181188823741,103.32812436354607,78.77461949888685,0.0017908083984347646,1.9602652287012865,467.72297846989045,191.29359416126664,1991.965610486032,15.152183929393424,7.265152468519636,3789847.7120615253,0.04869568100496529,0.9481657888802694,-1302.981373
2000,13.781072924310061,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.0027397260273972603,0.9,0.8,0.8,0.0055922833102282545,0.0015338733513194404,24.992024045215597,1660,0.47510068796074434,0.9898685810363929,0.2825347174757048,0.000051223703089940185,0.4,4,0.9998915317941752,13.10633513985704,0.3333333333333333,11.19578637785991,0.004963584324005036,41.40477789344192,0.0023114391936808996,0.019397375577731416,280.35699063443303,3.454905732757099,4106.430033979686,5.749398009975975,11.469954191892581,1536790.0282233339,0.00010100402702164042,0.999890297897181,-1303.047381
2000,13.644626657732735,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.0027397260273972603,0.9,0.8,0.8,0.006012016442925735,0.0014414909528035463,20.663044893856952,1660,0.4664196712219933,0.991841458513451,0.2764387655104467,0.000052323628123374724,0.4,4,0.9404308692360086,12.821820733351586,0.3333333333333333,11.413416465453892,0.009297541740660836,1.0022699687131063,0.00019379848450205327,51.55081853506215,274.2457188437144,6.608196200100034,5555.656108580228,5.50480053078301,47.54422894090415,4958180.380634574,0.0010146640781817757,0.9989182251113381,-1303.27799
2000,13.509531344289837,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.0027397260273972603,0.9,0.8,0.8,0.00559410257400815,0.001533879085366217,25.680117464499105,1660,0.4724530197648031,0.9787276086717434,0.28053785629204764,0.000047903420650109944,0.4,4,0.9999819479799146,13.083526922102084,0.3333333333333333,0.009941655223266852,0.04796067510508014,57.70184501147626,0.00007839674930035442,0.0537264431667632,271.0122032039652,4.2156293453500036,19710.50989421854,9.783286530186116,3.546726864891545,237626760.65751153,0.0058928931390738095,0.9940034011471888,-1303.322488
2000,13.890078119412157,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.0027397260273972603,0.9,0.8,0.8,0.005828174861388829,0.0016019440800353068,24.696789711475468,1660,0.4579142432109185,0.9801183314336508,0.2752997331417635,0.00004805562252423864,0.4,4,0.8427590128073972,13.143421724780438,0.3333333333333333,583.4805878317143,0.00025243951128944153,102.20030651788036,0.00027840494518928307,4.873235694849814,308.1787905709188,15.398876573194514,20007.158162930988,352.29452428403675,99.22282493603893,3688130.8178604366,0.0003820164494880258,0.9995312422414272,-1303.374797
2000,13.752552593477384,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.0027397260273972603,0.9,0.8,0.8,0.005934793468742818,0.0015310064211395491,26.11061778920009,1660,0.4547002072792158,0.9999473112957618,0.2728580521554287,0.00004874234518253131,0.4,4,0.9780973520839462,12.950395628139606,0.3333333333333333,25.117162880446365,0.0000681249546749315,81.25437152703635,0.00015474895947876216,5.571392626712035,324.34780796632,12.788965487842617,7940.20365417278,36.85120318015573,75.73262935510623,28527865.94560702,0.00023178135239921741,0.999735922048928,-1303.458694
2000,11.65448128884213,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.0027397260273972603,0.9,0.8,0.8,0.003935050500138805,0.0021656102839199888,24.263452207378997,1660,0.41376307848389837,0.9999988133633209,0.32457834898756593,0.00006837930244703635,0.4,4,0.8781223890251372,13.218749299730604,0.3333333333333333,35.42903442692286,0.010081427058608435,1.400861583573036,0.00028666656444589197,3.5597219947004803,371.913728891651,1984.440350744751,1599.7041788633192,73.63960149998071,11.990670734656732,145710.9128728624,0.04591915685987003,0.950654013000509,-1303.480773
2000,13.79966024045037,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.0027397260273972603,0.9,0.8,0.8,0.005774620415188034,0.0017264005017518617,24.33576331835516,1660,0.41994121311100985,0.9787456858385706,0.2879584374275404,0.00005063760861198978,0.4,4,0.9678278603024473,13.030679291211678,0.3333333333333333,3.915912086101363,0.08714918503375116,1.8701572740934589,0.0001631107222466253,4.128291216001689,238.32563051779854,6.889386481644225,2497.3834889917102,59.921890885325126,47.16799731495769,68831.11525503924,0.015224032752857298,0.9832604475281889,-1303.499018
