"p","omega","delta","mu_e","mu_ql","mu_el","mu_qn","mu_en","mu_qa","mu_ea","mu_h","beta_nh","beta_hl","beta_hn","lambda_l","lambda_n","lambda_a","alpha","f_l","f_n","f_a","kappa","c","Tf","obsprob","T_min_l","gamma","E0","QL0","EL_s0","EL_i0","QN_s0","QN_i0","EN_s0","EN_i0","QA_s0","QA_i0","EA0","H_s0","H_i0","LogLikJS","LogLikR","difference"
2000,2.31572691402875,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.005539866159196,0.000472995864712,56.306372820181,1660,0.479423932574448,0.999021760453071,0.909358440063527,1.33214142323986E-05,0.4,4,0.723932645501808,17.2138224372866,0.333333333333333,60496.7394020157,3249.99064917784,0.359843596227143,694.809901187667,0.599510964492216,52.3040917346546,16.6455479869263,7.85141056493093,109.01936717594,1326.25653542425,1.88405134145939,0.000150329894785,0.99707792601147,-8580.722912,-8580.64792191427,-0.074990085729951
2000,2.99621747164384,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.006316271617174,0.000472785866509,47.7390682703234,1660,0.483461953578421,0.998738282641222,0.893495299813034,1.62055655385239E-05,0.4,4,0.706586726635864,17.2224634763094,0.333333333333333,61694.4387446756,273.913888214254,0.745553765301437,674.758158243416,537.823022657167,84.7326736221765,1.77193596082754,3.01705519474916,257.771662240595,101902.399832227,9500.02408278823,5.03533197896243E-05,0.995394394700662,-8583.788676,-8583.78152578463,-0.00715021536962
2000,3.05747652292561,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.006282625549378,0.000472785866509,43.9182268450128,1660,0.49053343898563,0.99980850567673,0.883753155065621,1.84601890064856E-05,0.4,4,0.706586726635864,17.2373761531976,0.333333333333333,30571.0960389802,479.954934928069,0.298520930472903,632.87347350363,447.542047112759,131.102363122295,5.9605047597074,5.83211120659252,150.934210745516,73082.2183880431,1120.30855352426,0.000517281138831,0.9876628703175,-8583.473073,-8583.42371310234,-0.049359897659088
2000,2.93335783785071,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.006117199394456,0.000469393260638,58.6915034022242,1660,0.478289281879941,0.994695787786422,0.874363540666924,1.2983855872349E-05,0.4,4,1.06497544265023,16.955763791393,0.333333333333333,212554.864269827,59.7413515430401,0.864719402052037,396.733766733564,30.0603204183357,580.581989441972,33.4486256095138,3.02747005814374E-10,4032.22704422351,32416.8811219286,34164.6227789341,0.000209264058949,0.996212813630176,-8579.809095,-8579.79790982617,-0.011185173831109
2000,3.15377023394088,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.004709385776851,0.000385786509486,48.9051050437524,1660,0.765893131032144,0.856929294744717,0.999979554447992,1.1275183170749E-05,0.4,4,0.602119363200433,16.9412977959332,0.333333333333333,499938.987729576,677.885606064144,1.21284998807963,843.463162394619,13.0084023636152,106.363647191904,1.36387838137517,9.60126695924068,171.652965955614,45210.2335709317,5816.21479646562,3.66125796794914E-05,0.998666658571748,-8582.96197,-8582.89648723549,-0.065482764510307
2000,3.46686065092468,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.004686502125216,0.000362887278306,51.7089081762438,1660,0.811724548880107,0.904473220565161,0.952365699503534,1.13533942691938E-05,0.4,4,0.767110218125769,16.7568783591195,0.333333333333333,7874.44647202254,910.540634771004,4.25579976554208,933.924791733749,269.842738032391,134.062675964121,2.74767389669436,3.39717336754695,788.469606481918,892.110220193871,3093.83139836186,0.000384038374235,0.998115722455122,-8582.365252,-8582.29691486187,-0.068337138129209
2000,3.44535241260108,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.004707036484948,0.000384604033149,47.9032782303007,1660,0.773412915174634,0.892215228668096,0.972003377803669,1.18543683520004E-05,0.4,4,1.00045128246409,17.001832034635,0.333333333333333,23220.6635796293,1363.9372649038,0.237441063808165,840.182811968538,11.2919988964456,60.1011975295336,4.71306977446594,6.42557507772179,233.329835229999,6218.12308855175,861.574115052169,0.00085648501172,0.996007329463496,-8580.839215,-8580.78014155115,-0.059073448850541
2000,3.62025804287616,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.004604750057713,0.000374262036867,41.7526528742664,1660,0.832784482998523,0.975501592556483,0.883330331627501,1.444894751086E-05,0.4,4,0.993288821407371,17.1121241763281,0.333333333333333,398637.90280705,60.2434134507623,2.47723274506226,596.0465206499,22.137145528506,68.028491306817,1.91709569098814,6.12820387535919,759.721224438404,123738.316599198,10124.9267918372,0.000136753536349,0.998933191720041,-8581.95999,-8581.89496444975,-0.065025550249629
2000,3.8569612861486,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.004552945439745,0.00044919929716,35.7535446487191,1660,0.7416370699373,0.990960852062831,0.838905498719117,2.09396323405129E-05,0.4,4,0.893792158432998,17.1133222639344,0.333333333333333,242476.324319529,1513.36120028182,8.9761268472591,426.85235068508,7.17494422431774,168.061360219278,0.621955771329425,7.42370008437935,187.17016491421,85989.4168269912,9146.34523506744,0.000117301597194,0.998853091083492,-8582.602266,-8582.56910874759,-0.033157252410092
2000,3.74502920920134,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.004407511523931,0.000376600215931,43.7695120115864,1660,0.869093508084327,0.89651502129016,0.966807720864455,1.308364865123E-05,0.4,4,0.983371687625499,17.0645870920193,0.333333333333333,433825.781543521,326.963386869482,1.47047811810302,554.645160689086,3.61965886270365,161.239186995345,1.82748701279654,0.943087536684246,440.429775910416,109456.217734336,23459.7818565332,6.49605422547091E-05,0.999445297972608,-8583.378995,-8583.32818634905,-0.050808650948966
