"t","accum","c","r"
4997.7,488680700000000,2298500000000,2298463227009.94
5004.7,490713000000000,2032300000000.06,2032503988401.88
5011.7,492511000000000,1797999999999.94,1798265116208.88
5018.8,494096500000000,1585500000000,1585420214316.94
5025.8,495507000000000,1410500000000,1410486987168
5032.8,496778500000000,1271500000000,1271541589664.5
5039.8,497912400000000,1133899999999.94,1133939906572.06
5046.8,498908100000000,995700000000,995659297110
5053.8,499741000000000,832900000000.125,831860359680.688
5060.9,500318700000000,577699999999.875,577666068056.938
5067.9,500710500000000,391800000000.062,391817922450.125
5074.9,500776000000000,65500000000,65435409332.4375
5081.9,500776000000000,0,0
5088.9,500776000000000,0,0
5096,500776000000000,0,0
5103,500776000000000,0,0
5110,500776000000000,0,0
5117,500776000000000,0,0
5124,500776000000000,0,0
5131.1,500776000000000,0,0
5138.1,500776000000000,0,0
5145.1,500776000000000,0,0
5152.1,500776000000000,0,0
5159.1,500776000000000,0,0
5166.2,500776000000000,0,0
5173.2,500776000000000,0,0
5180.2,500776000000000,0,0
5187.2,500776000000000,0,0
5194.2,500776000000000,0,0
5201.2,500776000000000,0,0
5208.3,500776000000000,0,0
5215.3,500776000000000,0,0
5222.3,500936200000000,160200000000.063,160226879762.562
5229.3,501240600000000,304400000000,304356831981.188
5236.3,501854000000000,613399999999.938,612304204245.375
5243.4,502738500000000,884500000000,884529485807.75
5250.4,503903900000000,1165400000000,1165362511873.56
5257.4,505367800000000,1463899999999.94,1463920282839.62
5264.4,507135600000000,1767800000000.06,1766680930937.12
5271.4,509099700000000,1964100000000,1964069781585.81
5278.5,511211200000000,2111500000000,2111402745161.81
5285.5,513468400000000,2257200000000,2257206280477.56
5292.5,515871600000000,2403200000000,2403239781021.12
5299.5,518381800000000,2510199999999.94,2510091925295.75
5306.5,520952700000000,2570900000000,2570756766586.5
5313.6,523591900000000,2639200000000.06,2639060531358.75
5320.6,526308500000000,2716600000000,2716358450588
5327.6,529061300000000,2752800000000.06,2750696517687.5
5334.6,531673500000000,2612199999999.87,2612022834678.62
5341.6,534147400000000,2473900000000.06,2473802871428.38
5348.7,536501800000000,2354400000000,2354359343369.38
5355.7,538750100000000,2248300000000.06,2248145250938.12
5362.7,540901200000000,2151099999999.94,2150778308779.88
5369.7,542960900000000,2059700000000,2059530363112.81
5376.7,544933500000000,1972599999999.94,1972383313948.81
5383.8,546821400000000,1887900000000,1887755305104.31
5390.8,548541400000000,1720000000000,1719892746892.94
5397.8,549998900000000,1457500000000.06,1457387019665.88
5404.8,551207800000000,1208900000000,1208953700413.69
5411.8,552178600000000,970799999999.938,970657729223.188
5418.8,552903700000000,725100000000.063,724458616033.375
5425.9,553370000000000,466299999999.938,466206114178.062
5432.9,553538300000000,168300000000,168355924283.688
5439.9,553538300000000,0,0
5446.9,553538300000000,0,0
5453.9,553538300000000,0,0
5461,553538300000000,0,0
5468,553538300000000,0,0
5475,553538300000000,0,0
5482,553538300000000,0,0
5489,553538300000000,0,0
5496.1,553538300000000,0,0
5503.1,553538300000000,0,0
5510.1,553538300000000,0,0
5517.1,553538300000000,0,0
5524.1,553538300000000,0,0
5531.2,553538300000000,0,0
5538.2,553538300000000,0,0
5545.2,553538300000000,0,0
5552.2,553538300000000,0,0
5559.2,553538300000000,0,0
5566.2,553538300000000,0,0
5573.3,553538300000000,0,0
5580.3,553547800000000,9500000000.125,9455384118.4375
5587.3,553790900000000,243099999999.938,243055892324.375
5594.3,554187500000000,396600000000,396602496455
5601.3,554920100000000,732600000000,730882127645.438
5608.4,555866600000000,946499999999.937,946443979623.875
5615.4,557015000000000,1148400000000.06,1148465606344.62
5622.4,558372400000000,1357400000000,1357365141207.44
5629.4,559944800000000,1572400000000,1572795165550.38
5636.4,561777800000000,1832999999999.94,1832940574002.31
5643.5,563892100000000,2114300000000.06,2114221714939
5650.5,566287800000000,2395700000000,2395516916948
5657.5,568963400000000,2675600000000,2675527008126.88
5664.5,571896100000000,2932700000000,2932604887795.62
5671.5,575058800000000,3162700000000,3162539939459.12
5678.6,578454700000000,3395900000000,3395646395853.5
5685.6,582090700000000,3636000000000,3635823369656.88
5692.6,585820300000000,3729600000000,3723339364731.12
5699.6,589103300000000,3283000000000,3282803969948.62
5706.6,591968800000000,2865500000000,2865998865177.62
5713.7,594487500000000,2518700000000,2518576208485
5720.7,596716600000000,2229100000000,2230953489910.5
5727.7,598858400000000,2141800000000,2141782797723
5734.7,600985500000000,2127100000000,2127028855185
5741.7,603096900000000,2111400000000,2111361622801.25
5748.8,605191500000000,2094600000000,2094508195746.62
5755.8,607155100000000,1963600000000,1963581525207
5762.8,608859200000000,1704100000000,1704106778075.62
5769.8,610319900000000,1460700000000,1460713429519.38
5776.8,611549900000000,1230000000000,1229995940216.38
5783.8,612552100000000,1002200000000,1001997093288.38
5790.9,613310700000000,758600000000,758560614912.5
5797.9,613830600000000,519900000000,519892494093.75
5804.9,614238400000000,407800000000,407784851103.25
5811.9,614264100000000,25700000000,25675303426.125
5818.9,614264100000000,0,0
5826,614264100000000,0,0
5833,614264100000000,0,0
5840,614264100000000,0,0
5847,614264100000000,0,0
5854,614264100000000,0,0
5861.1,614264100000000,0,0
5868.1,614264100000000,0,0
5875.1,614264100000000,0,0
5882.1,614264100000000,0,0
5889.1,614264100000000,0,0
5896.2,614264100000000,0,0
5903.2,614264100000000,0,0
5910.2,614264100000000,0,0
5917.2,614264100000000,0,0
5924.2,614264100000000,0,0
5931.2,614421700000000,157600000000,157613884036.625
5938.3,614682200000000,260500000000,260482376093
5945.3,615019600000000,337400000000,337431017022.875
5952.3,615614100000000,594500000000,594483838430.875
5959.3,616516800000000,902700000000,902652305960.375
5966.3,617749000000000,1232200000000,1231652920204.38
5973.4,619276300000000,1527300000000,1527333898438.75
5980.4,621099200000000,1822900000000,1822852752658.5
5987.4,623219800000000,2120600000000,2120584796685.88
5994.4,625635900000000,2416100000000,2416190858767.62
6001.4,628339800000000,2703900000000,2703797478076.25
6008.5,631324200000000,2984400000000,2984365375081.62
6015.5,634584400000000,3260200000000,3260144237984.62
6022.5,638117700000000,3533300000000,3533317032111.5
6029.5,641788800000000,3671100000000,3671031483716
6036.5,645444100000000,3655300000000,3655335746362.75
6043.6,649102300000000,3658200000000,3658268519755.62
6050.6,652782300000000,3680000000000,3679988514366.38
6057.6,656452300000000,3670000000000,3668389063733.62
6064.6,659954900000000,3502600000000,3502572660238.5
6071.6,663299800000000,3344900000000,3345107229249.62
6078.7,666510200000000,3210400000000,3210542421218.25
6085.7,669584900000000,3074700000000,3071909159588.75
6092.7,672272100000000,2687200000000,2687175234206.88
6099.7,674528200000000,2256100000000,2256101591035.25
6106.7,676406100000000,1877900000000,1878272275258.88
6113.8,677945100000000,1539000000000,1539004026074.75
6120.8,679219800000000,1274700000000,1274767216763.25
6127.8,680301600000000,1081800000000,1081840496770.5
6134.8,681192500000000,890900000000,890941733344.125
6141.8,681891700000000,699200000000,699289534673.5
6148.8,682396000000000,504300000000,504101074756.375
6155.9,682799700000000,403700000000,403688429803.125
6162.9,682851100000000,51400000000,51466444271.875
6169.9,682851100000000,0,0
6176.9,682851100000000,0,0
6183.9,682851100000000,0,0
6191,682851100000000,0,0
6198,682851100000000,0,0
6205,682851100000000,0,0
6212,682851100000000,0,0
6219,682851100000000,0,0
6226.1,682851100000000,0,0
6233.1,682851100000000,0,0
6240.1,682851100000000,0,0
6247.1,682851100000000,0,0
6254.1,682851100000000,0,0
6261.2,682851100000000,0,0
6268.2,682851100000000,0,0
6275.2,682851100000000,0,0
6282.2,682851100000000,0,0
6289.2,682851100000000,0,0
6296.2,682851100000000,0,0
6303.3,682906800000000,55700000000,55652888183.875
6310.3,683144700000000,237900000000,237898013981.625
6317.3,683424900000000,280200000000,280303084654.375
6324.3,683909200000000,484300000000,484246911049.875
6331.3,684652400000000,743200000000,743307766476.75
6338.4,685688000000000,1035600000000,1035610625408.88
6345.4,687038100000000,1350100000000,1350223532707.62
6352.4,688716200000000,1678100000000,1678199855102
6359.4,690723800000000,2007600000000,2007168924777.25
6366.4,692991200000000,2267400000000,2267523066529.5
6373.5,695481900000000,2490700000000,2490910268482.88
6380.5,698187900000000,2706000000000,2706160833804.62
6387.5,701102500000000,2914600000000,2914866173121.88
6394.5,704112000000000,3009500000000,3009692027550.88
6401.5,707088600000000,2976600000000,2976834592668.25
6408.6,710047600000000,2959000000000,2959273059503.25
6415.6,713005400000000,2957800000000,2958022727213.75
6422.6,715954200000000,2948800000000,2948019249482.75
6429.6,718823800000000,2869600000000,2869685080467.62
6436.6,721624000000000,2800200000000,2800442198242.62
6443.7,724370800000000,2746800000000,2747145768194.88
6450.7,727063200000000,2692400000000,2690326373533.38
6457.7,729502600000000,2439400000000,2439307537482.62
6464.7,731645200000000,2142600000000,2142109922332.75
6471.7,733523000000000,1877800000000,1878145432317.75
6478.8,735160700000000,1637700000000,1637837254570.88
6485.8,736598200000000,1437500000000,1437559405111.75
6492.8,737872900000000,1274700000000,1274801562104.38
6499.8,738988100000000,1115200000000,1115213897194.62
6506.8,739944600000000,956500000000,956614425280.25
6513.8,740736400000000,791800000000,791565084763.75
6520.9,741338400000000,602000000000,602066348478.625
6527.9,741764100000000,425700000000,425686370125.625
6534.9,742130800000000,366700000000,366735617322.375
6541.9,742135700000000,4900000000,4888211349.125
6548.9,742135700000000,0,0
6556,742135700000000,0,0
6563,742135700000000,0,0
6570,742135700000000,0,0
