,"x",72.57231,
"129",172506473.665422,172617500,-111026.334578007
"130",194564774.42523,194676400,-111625.574770004
"131",213835933.845002,213945800,-109866.154998004
"132",231333017.299332,231450100,-117082.700668007
"133",248280515.315342,248406200,-125684.684657961
"134",266020526.989799,266156200,-135673.010201007
"135",285914660.223374,286065700,-151039.776625991
"136",309235251.72974,309427100,-191848.270259976
"137",337479783.239416,337729500,-249716.760583997
"138",372210191.734254,372468800,-258608.265745997
"139",414485701.564894,414825200,-339498.435105979
"140",459037139.91928,459399600,-362460.080720007
"141",502438798.952578,502821000,-382201.047421932
"142",543473864.73034,543875700,-401835.269659996
"143",580714353.077032,581118000,-403646.92296803
"144",612951899.430953,613365200,-413300.569046974
"145",638731163.134385,639124900,-393736.86561501
"146",655650829.694167,656060600,-409770.305832982
"147",661351001.826709,661775500,-424498.173290968
"148",648263553.866397,648835200,-571646.133602977
"149",595131328.080683,595667200,-535871.919317007
"150",522367168.683219,522842400,-475231.316781044
"151",440263239.302416,440750100,-486860.697583973
"152",366357575.59996,366762700,-405124.400039971
"153",304858147.861891,305188800,-330652.138109028
"154",253682370.019628,253952300,-269929.980372012
"155",211097352.848454,211317200,-219847.151546001
"156",175660972.118464,175853900,-192927.881536007
"157",146173355.875768,146333500,-160144.124231994
"158",121635562.454666,121767800,-132237.545333996
"159",101216904.664443,101328000,-111095.335556999
"160",84225772.5569267,84319210,-93437.4430732876
"161",70087017.3916945,70166410,-79392.608305499
"162",58321692.6859424,58388750,-67057.3140576035
"163",48531396.5312508,48588250,-56853.4687491953
"164",40384556.5188019,40433250,-48693.4811981022
"165",33605279.7744413,33646340,-41060.2255586982
"166",27964041.3287964,27997660,-33618.6712035984
"167",30237036.0308961,30272830,-35793.9691038989
"168",47083723.9447761,47133090,-49366.0552238971
"169",72136277.9685286,72205790,-69512.0314714015
"170",100144682.783569,100238700,-94017.2164309919
"171",123367358.369307,123480900,-113541.630693004
"172",143899008.599174,144029500,-130491.400826007
"173",167166185.697546,167315000,-148814.302453995
"174",201437699.618497,201512300,-74600.381502986
"175",265846406.435937,265915500,-69093.5640630424
"176",381408019.68225,381519500,-111480.317749977
