"p","omega","delta","mu_e","mu_ql","mu_el","mu_qn","mu_en","mu_qa","mu_ea","mu_h","beta_nh","beta_hl","beta_hn","lambda_l","lambda_n","lambda_a","alpha","f_l","f_n","f_a","kappa","c","Tf","obsprob","T_min_l","gamma","E0","QL0","EL_s0","EL_i0","QN_s0","QN_i0","EN_s0","EN_i0","QA_s0","QA_i0","EA0","H_s0","H_i0","LogLik","X"
2000,3.94042300779262,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.004841903009073,0.000351003713777,13.3509667306912,1660,0.861492212951847,0.970350583564174,0.892356202451232,1.86e-05,0.4,4,0.990518509892414,17.171099903758,0.333333333333333,5792.39234783823,178.395612717041,1.73064295697091,318.105994357072,18.2972104819468,117.241193168786,3.4968837228977,8.04696939551656,941.476041865969,155018.248723745,14448.4128520262,7.75e-05,0.99812760810381,-9155.26909763868,NA
2000,4.04197411299913,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.004841903009073,0.000351003713777,13.9830695173339,1660,0.912164890112599,0.95442960066946,0.849399347607806,1.8e-05,0.4,4,0.990518509892414,17.2302179580076,0.333333333333333,7362.78470106092,236.320438263593,2.13186423865402,297.887649814871,23.706930817051,160.467210547163,5.66281010327942,5.50747522449695,913.271745002131,186656.591693141,16199.1858590312,6.52e-05,0.998052128899714,-9157.66668974955,NA
2000,4.21942574260037,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.004841903009073,0.000351003713777,13.9830695173339,1660,0.941286539013725,0.920729057484804,0.840082023674886,1.72e-05,0.4,4,0.990518509892414,17.1516767617457,0.333333333333333,6926.39888538411,366.317205740503,1.94902029640013,335.572647988581,27.8867977952248,102.339506612931,5.62716426858263,9.83367628982506,575.870317084918,123338.058835045,20255.6836771445,9.75e-05,0.997988926056066,-9158.03792162032,NA
2000,4.33175527385649,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.004841903009073,0.000351003713777,13.9830695173339,1660,0.961951317531345,0.980673079936843,0.772830251339942,1.75e-05,0.4,4,0.990518509892414,17.1568577601412,0.333333333333333,7512.89910764247,329.17104063546,1.85581162754361,337.603811343597,19.6733259901888,79.8334132946973,5.41237622282225,15.3425409287647,766.553931756095,205598.101269873,16256.1034297807,9.14e-05,0.996850441092501,-9156.33276326057,NA
2000,4.3529298905682,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.004841903009073,0.000351003713777,13.9830695173339,1660,0.981286539013725,0.973823942254489,0.766999265051623,1.77e-05,0.4,4,0.990518509892414,17.2023061765293,0.333333333333333,6441.84886659007,259.458453972209,1.90613902374368,334.103799607203,17.1905328375066,90.8250628711932,4.46154007041414,14.43082347196,1109.43135264357,212159.855502627,14430.2765012019,0.000137106233259,0.996915778682848,-9158.14809231205,NA
2000,4.4542640589358,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.004841903009073,0.000351003713777,13.9830695173339,1660,0.991099404403862,0.97605302826504,0.767912355568533,1.85e-05,0.4,4,0.990518509892414,17.2095049828888,0.333333333333333,7209.41395715847,251.08486581224,1.95427849320603,330.829350666408,18.1394425804817,77.0171245641905,4.25471202401811,13.826543657799,955.983945929878,204065.642195463,18179.0661228376,0.000104907176361,0.997170008812792,-9156.28923639018,NA
2000,4.58070892292768,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.005593999167639,0.000311873570179,9.16169403361158,1660,0.999999999999,0.771077029844895,0.954609939349613,1.95e-05,0.4,4,0.96647921644339,17.1662926895416,0.333333333333333,19967.6671274098,411.176426690635,16.5590460352664,309.809494107747,32.4118157061163,84.0532271279335,2.22289486470328,7.23161260487595,6309.00313556596,128699.061467606,19115.4339757219,0.000222288107529,0.992907927588462,-9157.76246742631,NA
2000,4.66283066903266,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.005593999167639,0.000311873570179,9.16169403361158,1660,0.999999999999,0.768886810044334,0.969217895479041,1.97e-05,0.4,4,0.96647921644339,17.1582013176306,0.333333333333333,16344.8232636718,419.249921106831,20.0301927719218,285.622656066287,32.189022117313,93.1976136808284,3.06220409828318,7.37904683041447,5719.41026073884,178379.821398653,21606.420801526,0.000133181701146,0.995593356472627,-9157.24916325364,NA
2000,4.78697773955483,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.004169885547128,0.000540923679337,27.8028989160177,1660,0.957699124454952,0.52202465202058,0.985058378956785,7.28e-06,0.4,4,0.999439654323455,17.1101968875756,0.333333333333333,28741.6670245561,55.5277535917738,1.17716811559547,576.114274373117,14.8831523573549,66.488942609211,7.3242868135762,10.1994280744089,123.217485460433,59788.4034342165,34890.0428449896,0.000232257914023,0.995304026855753,-9158.35440960379,NA
2000,4.85338415561631,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.004169885547128,0.000540923679337,27.8028989160177,1660,0.957699124454952,0.527244898540786,0.988267758077592,7.53000000000001e-06,0.4,4,0.999439654323455,17.1296208980365,0.333333333333333,25251.1838478275,52.5622357094832,1.2276455760593,564.668007104298,12.6901787316665,49.9209281425527,6.75525896639251,13.4299026818717,132.543236259842,63335.088605828,36403.6613258248,0.000275504517035,0.994939402197582,-9160.31790233653,NA
2000,5.0221300960811,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.004169885547128,0.000540923679337,27.8028989160177,1660,0.957699124454952,0.570962360620329,0.921300201538557,8.19e-06,0.4,4,0.999439654323455,17.0972821659284,0.333333333333333,11486.8835720027,151.956726696319,1.77564548689856,523.1470959507,35.9018666392403,57.1105579250576,11.6020962826896,10.8296119024023,112.904706343831,68838.0572854672,33834.9716165881,0.0001298777016,0.997137468916302,-9157.89998086961,NA
2000,5.14819576385709,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.004169885547128,0.000540923679337,27.8028989160177,1660,0.957699124454952,0.696646228238838,0.755382723465643,1e-05,0.4,4,0.876201169600866,17.0418807627458,0.333333333333333,69604.8751287305,26.9660141658403,0.853130233329702,467.589973732104,97.7883993697653,39.790768558557,5.34913145772795,8.34529155254724,167.850031770432,144312.909127973,13676.4354967075,6.59e-05,0.999190336537642,-9160.01872954443,NA
2000,5.19861681761648,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.004169885547128,0.000540923679337,27.8028989160177,1660,0.957699124454952,0.703612690521226,0.754131958634661,1e-05,0.4,4,0.876201169600866,17.0496108029438,0.333333333333333,67451.9260090645,30.7395976344955,0.812818405209545,461.570260205492,97.2376694163738,38.8554595230743,5.4968058788105,8.06721652689312,151.328053441106,169747.152473786,13097.4673043969,8.72e-05,0.999061022319862,-9160.8290792145,NA
2000,5.33436168021781,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.004169885547128,0.000540923679337,27.8028989160177,1660,0.997699124454952,0.601229272379303,0.835116986971856,8.66e-06,0.4,4,0.876201169600866,17.0131516321765,0.333333333333333,102951.555830756,41.655971979981,0.392363662224381,474.286165246925,32.432974221818,72.1906541474644,6.93212522436048,9.77051030325392,382.891889853465,177175.148195188,11374.282784185,6.29e-05,0.998716120419796,-9160.60488624364,NA
2000,5.4226443389739,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.004169885547128,0.000540923679337,27.8028989160177,1660,0.997699124454952,0.625641591767285,0.810359634994072,9.04e-06,0.4,4,0.876201169600866,17.0144536801407,0.333333333333333,83933.8365339868,39.3462053655581,0.513031018206981,475.43565727044,26.9537543969477,80.7651226784212,6.18265660081943,10.3760403254977,363.54419567701,159452.41467156,11638.6822084753,6.1e-05,0.998884646127766,-9158.40414349401,NA
2000,5.47586248422938,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.004169885547128,0.000540923679337,27.8028989160177,1660,0.997699124454952,0.619447120561668,0.834004427820866,8.83e-06,0.4,4,0.876201169600866,17.0466310848502,0.333333333333333,89942.7324527317,35.2441334908653,0.442752533716999,459.093432362083,26.6772724678002,70.8077934309881,5.75049551220428,10.3453313768126,424.528852086995,146087.805201228,11151.0918756376,5.87e-05,0.999006122598298,-9158.69481734968,NA
2000,5.56396052543828,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.005539583161947,0.000568085324639,28.6207128136478,1660,0.815469245865919,0.495588333909242,0.933538039580103,7.44e-06,0.4,4,0.809160196692503,17.0359716081093,0.333333333333333,19242.9056563969,221.347655282531,19.780246702308,611.718569674593,24.1466571518322,27.8990413121128,1.66181151682698,9.30048154463978,1.008179017319,420052.167397159,38945.2825049156,3.97e-06,0.999942060971706,-9157.92534381802,NA
2000,5.71226437109862,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.005539583161947,0.000568085324639,28.6207128136478,1660,0.815469245865919,0.500544217248334,0.935004158324966,7.44e-06,0.4,4,0.809160196692503,17.0077297939314,0.333333333333333,17238.0721491096,233.960730740374,22.0128672823956,606.161473353285,28.1384650180283,26.125837173552,1.83064817219977,7.8346794535245,1.16896083159348,381523.558084944,45187.1380699122,4.03e-06,0.999947050616035,-9159.01576876577,NA
2000,5.83492046796985,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.008233489220048,0.000466769427231,8.75758711925161,1660,0.729526646272701,0.995736860410364,0.461367527830224,3.95e-05,0.4,4,0.294995750138245,17.0912824923107,0.333333333333333,97.0734283696432,41.6423628065742,17.7586910950381,264.920317214878,9.03367222321058,212.447511851596,2.62627712361494,53.8331580864362,687.767625706064,29755.4684683958,3.83094416674473,0.999855318018901,0.000140315656355,-9158.66542379891,NA
2000,5.95856062379768,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.008233489220048,0.000480913007645,9.74126544934681,1660,0.723742099671622,0.996211058686972,0.457038079336421,3.71e-05,0.4,4,0.294995750138245,17.1315181230169,0.333333333333333,106.005557904778,47.4887356383157,18.99901724865,293.549148993327,9.44308188919835,179.714622105812,2.6826558043204,51.5394721526726,678.591106502702,25561.9189348648,4.52740970840912,0.999936519981759,5.96e-05,-9158.65130560204,NA
2000,6.04984246541978,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.008233489220048,0.000490579359099,9.82770284534053,1660,0.72233519319554,0.996125262994437,0.453623572118017,3.63e-05,0.4,4,0.294995750138245,17.1715820499994,0.333333333333333,104.714835803338,50.6420139088401,19.4137965350522,298.507939846937,9.62100522700107,175.960842960933,2.71084515915838,45.8758069230004,667.953572970039,26449.1728653145,4.54917437954456,0.999938375303194,5.79e-05,-9161.97653728098,NA
2000,6.13196212436674,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.008233489220048,0.000500440004217,9.76064428453793,1660,0.713753010037437,0.995991084526558,0.453633902569778,3.72e-05,0.4,4,0.294995750138245,17.1764756061835,0.333333333333333,96.2791920980334,44.533622692019,16.4699474732007,300.611557651231,8.93733402973755,178.906133626827,2.36803447528508,48.6074914951445,732.087730291276,47782.8003207731,4.08424522025801,0.999941098347038,5.52e-05,-9156.96699991638,NA
2000,6.19427537020204,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.008233489220048,0.000505444404259,10.1808199014186,1660,0.717183536416972,0.996635562204027,0.44897660021251,3.66e-05,0.4,4,0.294995750138245,17.2029775816216,0.333333333333333,111.830307146919,51.465231466774,10.2874957770228,306.141647852871,9.27976392410844,167.389540049022,2.61168363958984,46.2380056534077,746.574635336114,29657.0423333464,4.2389498819555,0.999933786142166,6.27e-05,-9156.6249173944,NA
2000,6.36333359624816,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.003980632299581,0.000688345451642,5.81074411637762,1660,0.89442326762399,0.493432701932119,0.999800390992821,4.24e-05,0.4,4,0.958507040541179,17.0450760378683,0.333333333333333,40913.3503462132,8.38058581001683,0.040303707307779,52.5770656400283,88.6004518502481,87.1601572502848,30.4206809242569,8.09613286142547,79.8291843793474,51198.103117788,93161.2792833131,1.16e-05,0.999678004955535,-9160.62493860431,NA
2000,6.4124687895753,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.008233489220048,0.000531227148643,10.1317264017947,1660,0.698460445673458,0.996403248947444,0.437871160140203,3.76e-05,0.4,4,0.294995750138245,17.1346396137235,0.333333333333333,89.4396152082899,48.3696407137939,18.7657916636785,318.397081817579,6.57400921757695,164.044339300044,3.09304060652715,32.314347815501,884.185655047187,33302.3252571292,5.23544042076259,0.999938007454468,5.84e-05,-9153.84255578172,NA
