,"c","r",,"js","E0"
182.5,341.9108,787123.503967662,-786781.593167662,787024.967224167,787081.913554825
189.52,259.3381,852787.30469107,-852527.96659107,852662.110430192,852732.266095209
196.54,194.8236,960011.518995406,-959816.695395406,959861.552051805,959937.076892682
203.56,144.9697,1119344.98556596,-1119200.01586596,1119176.50889992,1119248.77090227
210.58,106.851,1337262.78722532,-1337155.93622532,1337084.21762185,1337144.99366357
217.6,78.23642,1610248.15506129,-1610169.91864129,1610297.13817383,1610334.62676705
224.62,57.41692,1914357.11722104,-1914299.70030104,1914414.48406553,1914423.24825483
231.63,42.25637,2242482.08915448,-2242439.83278448,2242515.56774078,2242500.30447037
238.65,31.18976,2595202.69927294,-2595171.50951294,2595214.90091032,2595181.24955471
245.67,23.09863,2973794.66588978,-2973771.56725978,2974018.39444817,2973968.43528498
252.69,17.24368,3357835.92133281,-3357818.67765281,"NaN",3358014.92461749
259.71,12.99787,3735486.45655676,-3735473.45868676,"NaN",3735650.85143355
266.73,9.892612,4103774.00521784,-4103764.11260584,"NaN",4103934.61434661
273.75,7.601765,4459100.16356569,-4459092.56180069,"NaN",4459274.76787191
280.77,5.934375,4738149.39410345,-4738143.45972845,"NaN",4738350.91214545
287.79,4.736953,4862265.73432633,-4862260.99737333,"NaN",4862491.872328
294.81,3.867257,4815133.65545324,-4815129.78819624,"NaN",4815370.42985882
301.83,3.213937,4580121.91687849,-4580118.70294149,"NaN",4580351.15984699
308.85,2.674407,4162371.33774326,-4162368.66333626,"NaN",4161886.16629212
315.87,2.225549,3708393.5646328,-3708391.3390838,"NaN",3708044.27520432
322.88,1.851951,3262611.94094046,-3262610.08898946,"NaN",3262355.03550599
329.9,1.541101,2847918.84330362,-2847917.30220262,"NaN",2847726.61970892
336.92,1.282404,2478352.60620255,-2478351.32379855,"NaN",2478246.92391852
343.94,1.067166,2062317.99713053,-2062316.92996453,"NaN",2062213.06987135
350.96,0.8880255,1716123.24719146,-1716122.35916596,"NaN",1716020.58878569
357.98,0.7389594,1428042.3689638,-1428041.6300044,"NaN",1427944.91227161
365,0.614916,1188319.48784174,-1188318.87292574,"NaN",1188229.72510209
372.02,0.5116901,988839.051017658,-988838.539327558,"NaN",988756.546196262
379.04,0.4257927,822844.923763404,-822844.497970704,"NaN",822769.778429807
386.06,0.3543145,684716.86861269,-684716.51429819,"NaN",684647.915505769
393.08,0.2948401,569775.270709836,-569774.975869736,"NaN",569713.157308698
400.1,0.2453539,474128.606828764,-474128.361474864,"NaN",474072.985924263
407.12,0.2041738,394537.896129515,-394537.691955715,"NaN",394488.336981433
414.13,0.1699049,328307.872463006,-328307.702558106,"NaN",328263.901623995
421.15,0.1413881,273195.77259229,-273195.63120419,"NaN",273156.843961935
428.17,0.1176572,227335.097768176,-227334.980110976,"NaN",227300.842505408
435.19,0.09791142,189172.936837609,-189172.838926189,"NaN",189142.883093451
442.21,0.0814763,159114.402906401,-159114.321430101,"NaN",159089.97554857
449.23,0.06779914,229445.136917984,-229445.069118844,"NaN",229453.467682656
456.25,0.05641773,288657.664963417,-288657.608545687,"NaN",288692.437239301
463.27,0.04694701,352214.47377485,-352214.42682784,"NaN",352274.759950554
470.29,0.03906648,439198.006949959,-439197.967883479,"NaN",439288.765490163
477.31,0.03250852,553100.857408135,-553100.824899615,"NaN",553228.733754016
484.33,0.02705127,695839.39225246,-695839.36520119,"NaN",696007.410082317
491.35,0.02238961,935530.186972002,-935530.164582392,"NaN",935811.731946188
498.37,0.01827833,1390187.14609494,-1390187.12781661,"NaN",1390575.95771091
505.38,0.01471991,2185917.17186235,-2185917.15714244,"NaN",2186428.93266378
512.4,0.01169566,3408859.58716294,-3408859.57546728,"NaN",3409515.54433332
519.42,0.009171845,5067427.98873345,-5067427.9795616,"NaN",5068903.94912955
526.44,0.007118277,7027688.35054325,-7027688.34342497,"NaN",7029354.67236124
533.46,0.005472638,9144058.6021696,-9144058.59669696,"NaN",9145807.21093196
540.48,0.004168224,11296289.8426988,-11296289.8385306,"NaN",11298052.0602198
547.5,0.003145448,13390358.192445,-13390358.1892996,"NaN",13392117.3012539
554.52,0.002354491,15340969.4428531,-15340969.4404986,"NaN",15342720.654431
561.54,0.001750511,17116908.7995208,-17116908.7977703,"NaN",17118681.7265959
568.56,0.00129259,18765989.6588884,-18765989.6575958,"NaN",18767839.6412494
575.58,0.000948061,20378413.1916215,-20378413.1906734,"NaN",20380418.9082206
582.6,0.0006904374,22088564.5057212,-22088564.5050308,"NaN",22090565.4806174
589.62,0.0004987678,24080179.5226827,-24080179.5221839,"NaN",24082598.3152562
596.63,0.0003573602,26548525.9884499,-26548525.9880925,"NaN",26551587.8147402
603.65,0.0002539594,29714717.5713421,-29714717.5710881,"NaN",29718612.6057197
610.67,0.0001792998,33810254.8879884,-33810254.8878091,"NaN","NaN"
617.69,0.0001285217,38526490.1904594,-38526490.1903309,"NaN","NaN"
624.71,9.425288E-05,43141583.9086455,-43141583.9085513,"NaN","NaN"
631.73,7.071967E-05,47286518.0193169,-47286518.0192462,"NaN","NaN"
638.75,5.432963E-05,50607678.8476706,-50607678.8476163,"NaN","NaN"
645.77,4.263176E-05,52955792.4518728,-52955792.4518302,"NaN","NaN"
652.79,3.409496E-05,54234746.2816929,-54234746.2816588,"NaN","NaN"
659.81,2.780354E-05,54115784.1430715,-54115784.1430437,"NaN","NaN"
666.83,2.306562E-05,52295921.4909385,-52295921.4909154,"NaN","NaN"
673.85,1.919513E-05,48415124.0572095,-48415124.0571903,"NaN","NaN"
680.87,1.607972E-05,43643578.3136246,-43643578.3136085,"NaN","NaN"
687.88,0.0001187473,38659487.5159445,-38659487.5158258,"NaN","NaN"
694.9,0.01601838,33857566.2606092,-33857566.2445908,"NaN","NaN"
701.92,0.271624,29491095.4069851,-29491095.1353611,"NaN","NaN"
708.94,0.4340656,24949653.7590021,-24949653.3249365,"NaN","NaN"
715.96,0.3612001,20761430.2166177,-20761429.8554176,"NaN","NaN"
722.98,0.3005663,17276250.488158,-17276250.1875917,"NaN","NaN"
730,0.2501107,14376125.7131267,-14376125.463016,"NaN","NaN"
737.02,0.2081251,11962835.4838759,-11962835.2757508,"NaN","NaN"
744.04,0.1731874,9954658.37594141,-9954658.20275401,"NaN","NaN"
751.06,0.1441147,8283596.03672773,-8283595.89261303,"NaN","NaN"
758.08,0.1199223,6893050.71996389,-6893050.60004159,"NaN","NaN"
765.1,0.09979107,5735935.15720087,-5735935.0574098,"NaN","NaN"
772.12,0.08303932,4773054.02337394,-4773053.94033462,"NaN","NaN"
779.13,0.06910138,3971812.6523923,-3971812.58329092,"NaN","NaN"
786.15,0.05750359,3305071.85039705,-3305071.79289346,"NaN","NaN"
793.17,0.04785223,2750264.11903162,-2750264.07117939,"NaN","NaN"
800.19,0.0398208,2288583.6805636,-2288583.6407428,"NaN","NaN"
807.21,0.03313741,1904404.56867561,-1904404.5355382,"NaN","NaN"
814.23,0.02757573,1584714.63560731,-1584714.60803158,"NaN","NaN"
