,"c","r",,"js","E0"
2653.3,4018.945,51753604038.6679,-51753600019.7229,"NaN","NaN"
2660.3,4657.517,60417097217.8872,-60417092560.3702,"NaN","NaN"
2667.3,5548.002,73736764000.0298,-73736758452.0278,"NaN","NaN"
2674.3,6424.393,91063455238.6405,-91063448814.2475,"NaN","NaN"
2681.3,7013.242,111826344051.745,-111826337038.503,"NaN","NaN"
2688.4,7371.366,130369717130.535,-130369709759.169,"NaN","NaN"
2695.4,7524.479,140481699412.257,-140481691887.778,"NaN","NaN"
2702.4,7481.713,139605285586.164,-139605278104.451,"NaN","NaN"
2709.4,7248.274,129551600290.844,-129551593042.57,"NaN","NaN"
2716.4,6825.659,113817332026.171,-113817325200.512,"NaN","NaN"
2723.5,6250.809,96080918123.6674,-96080911872.8584,"NaN","NaN"
2730.5,5578.785,78918835984.2592,-78918830405.4742,"NaN","NaN"
2737.5,4868.608,63668702240.0135,-63668697371.4055,"NaN","NaN"
2744.5,4216.77,51434773249.1557,-51434769032.3857,"NaN","NaN"
2751.5,3659.091,42436595782.2315,-42436592123.1405,"NaN","NaN"
2758.6,3177.779,36037540174.7262,-36037536996.9472,"NaN","NaN"
2765.6,2764.988,31663674065.6794,-31663671300.6914,"NaN","NaN"
2772.6,2415.687,28863865587.6882,-28863863172.0012,"NaN","NaN"
2779.6,2126.044,27339894856.0757,-27339892730.0317,"NaN","NaN"
2786.6,1882.656,26723253566.9138,-26723251684.2578,"NaN","NaN"
2793.7,1675.864,26699971362.7094,-26699969686.8454,"NaN","NaN"
2800.7,1505.083,27207621173.3644,-27207619668.2814,"NaN","NaN"
2807.7,1433.808,30277322542.5681,-30277321108.7601,"NaN","NaN"
2814.7,1458.773,36921880606.7737,-36921879148.0007,"NaN","NaN"
2821.7,1581.179,47477659944.0996,-47477658362.9206,"NaN","NaN"
2828.8,1824.026,62176262570.0829,-62176260746.0569,"NaN","NaN"
2835.8,2158.686,79448327365.9326,-79448325207.2466,"NaN","NaN"
2842.8,2565.601,97595626986.7355,-97595624421.1345,"NaN","NaN"
2849.8,3082.346,116329604197.009,-116329601114.663,"NaN","NaN"
2856.8,3732.194,135044020807.395,-135044017075.201,"NaN","NaN"
2863.8,4576.216,152351578531.957,-152351573955.741,"NaN","NaN"
2870.9,5589.663,161343411140.986,-161343405551.323,"NaN","NaN"
2877.9,6353.084,158337511742.872,-158337505389.788,"NaN","NaN"
2884.9,6384.215,145174661304.07,-145174654919.855,"NaN","NaN"
2891.9,5312.52,120804634102.226,-120804628789.706,"NaN","NaN"
2898.9,4420.718,100525535698.463,-100525531277.745,"NaN","NaN"
2906,3678.623,83650506978.9028,-83650503300.2798,"NaN","NaN"
2913,3061.1,69608296138.3861,-69608293077.2861,"NaN","NaN"
2920,2547.239,57923315189.6096,-57923312642.3706,"NaN","NaN"
2927,2119.639,48199867208.2915,-48199865088.6525,"NaN","NaN"
2934,1763.818,40108705684.9183,-40108703921.1003,"NaN","NaN"
2941.1,1467.728,33375777631.4917,-33375776163.7637,"NaN","NaN"
2948.1,1221.342,27773045066.0429,-27773043844.7009,"NaN","NaN"
2955.1,1016.317,23110848928.4348,-23110847912.1178,"NaN","NaN"
2962.1,845.7285,19231280174.9927,-19231279329.2642,"NaN","NaN"
2969.1,703.7824,16002997092.7776,-16002996388.9952,"NaN","NaN"
2976.2,585.6592,13316612197.9239,-13316611612.2647,"NaN","NaN"
2983.2,487.3624,11081183446.9181,-11081182959.5557,"NaN","NaN"
2990.2,405.5644,9221002334.68527,-9221001929.12087,"NaN","NaN"
2997.2,337.4888,7673088916.8818,-7673088579.393,"NaN","NaN"
3004.2,1283.946,18328946484.5629,-18328945200.6169,"NaN","NaN"
3011.2,2570.577,34127267426.7511,-34127264856.1741,"NaN","NaN"
3018.3,3842.284,51795164392.7536,-51795160550.4696,"NaN","NaN"
3025.3,5011.962,70229771375.4514,-70229766363.4894,"NaN","NaN"
3032.3,5965.177,88725026674.8195,-88725020709.6425,"NaN","NaN"
3039.3,6653.192,108172883606.139,-108172876952.947,"NaN","NaN"
3046.3,7059.935,127522962616.599,-127522955556.664,"NaN","NaN"
3053.4,7248.142,142540278334.541,-142540271086.399,"NaN","NaN"
3060.4,7251.425,148254839332.318,-148254832080.893,"NaN","NaN"
3067.4,7085.448,143180139811.11,-143180132725.662,"NaN","NaN"
3074.4,6763.664,129979481959.538,-129979475195.874,"NaN","NaN"
3081.4,6346.059,113635051873.55,-113635045527.491,"NaN","NaN"
3088.5,5850.934,97134796718.132,-97134790867.198,"NaN","NaN"
3095.5,5302.341,81924484669.9773,-81924479367.6363,"NaN","NaN"
3102.5,4735.029,68666005397.964,-68666000662.935,"NaN","NaN"
3109.5,4187.862,57658027802.4721,-57658023614.6101,"NaN","NaN"
3116.5,3684.294,48865703787.6579,-48865700103.3639,"NaN","NaN"
3123.6,3230.703,42003068752.8736,-42003065522.1706,"NaN","NaN"
3130.6,2828.664,36752334268.9635,-36752331440.2995,"NaN","NaN"
3137.6,2495.886,33183283477.215,-33183280981.329,"NaN","NaN"
3144.6,2265.876,32067366008.1451,-32067363742.2691,"NaN","NaN"
3151.6,2102.446,33019736883.7851,-33019734781.3391,"NaN","NaN"
3158.7,1987.119,35559099828.5418,-35559097841.4228,"NaN","NaN"
3165.7,1909.66,39241821387.755,-39241819478.095,"NaN","NaN"
3172.7,1860.424,43580902325.1315,-43580900464.7075,"NaN","NaN"
3179.7,1835.196,48273545326.2088,-48273543491.0128,"NaN","NaN"
3186.7,1832.722,53149474290.3915,-53149472457.6695,"NaN","NaN"
3193.8,1851.626,58110225241.3347,-58110223389.7087,"NaN","NaN"
3200.8,1977.927,65657933839.9515,-65657931862.0245,"NaN","NaN"
3207.8,2288.434,78452159965.9579,-78452157677.5239,"NaN","NaN"
3214.8,2801.422,96207840687.1908,-96207837885.7688,"NaN","NaN"
3221.8,3553.594,117297903423.322,-117297899869.728,"NaN","NaN"
3228.8,4539.021,137469443737.625,-137469439198.604,"NaN","NaN"
3235.9,5573.973,148723809285.44,-148723803711.467,"NaN","NaN"
3242.9,6361.14,148358981602.76,-148358975241.62,"NaN","NaN"
3249.9,6726.369,140860055245.834,-140860048519.465,"NaN","NaN"
3256.9,5688.358,118267142764.668,-118267137076.31,"NaN","NaN"
3263.9,4733.469,98414008117.7849,-98414003384.3159,"NaN","NaN"
3271,3938.872,81893490080.4116,-81893486141.5396,"NaN","NaN"
3278,3277.662,68146192647.1841,-68146189369.5221,"NaN","NaN"
3285,2727.447,56706651332.8152,-56706648605.3682,"NaN","NaN"
3292,2269.596,47187450084.7948,-47187447815.1988,"NaN","NaN"
3299,1888.603,39266221252.0155,-39266219363.4125,"NaN","NaN"
3306.1,1571.565,32674710154.6229,-32674708583.0579,"NaN","NaN"
3313.1,1307.748,27189666359.1162,-27189665051.3682,"NaN","NaN"
3320.1,1088.213,22625400199.695,-22625399111.482,"NaN","NaN"
3327.1,905.5474,18827331395.5383,-18827330489.9909,"NaN","NaN"
3334.1,753.5593,15666834030.8194,-15666833277.2601,"NaN","NaN"
3341.2,627.0835,13036890344.5212,-13036889717.4377,"NaN","NaN"
3348.2,521.8341,10848427386.9171,-10848426865.083,"NaN","NaN"
3355.2,1324.495,19375387174.3384,-19375385849.8434,"NaN","NaN"
3362.2,2403.463,31252373957.3625,-31252371553.8995,"NaN","NaN"
3369.2,3343.731,41823637234.5406,-41823633890.8096,"NaN","NaN"
3376.2,4197.452,51838482198.3036,-51838478000.8516,"NaN","NaN"
3383.3,5106.063,64056080655.3383,-64056075549.2753,"NaN","NaN"
3390.3,6058.609,80303856612.3737,-80303850553.7647,"NaN","NaN"
3397.3,6746.892,99712443510.4648,-99712436763.5728,"NaN","NaN"
3404.3,7015.889,120000610748.876,-120000603732.987,"NaN","NaN"
3411.3,6992.481,133631348295.126,-133631341302.645,"NaN","NaN"
3418.4,6875.93,136728735299.164,-136728728423.234,"NaN","NaN"
3425.4,6656.073,130463588840.032,-130463582183.959,"NaN","NaN"
3432.4,6321.868,118225897990.083,-118225891668.215,"NaN","NaN"
3439.4,5883.282,103372123481.022,-103372117597.74,"NaN","NaN"
3446.4,5372.965,88392339795.2465,-88392334422.2815,"NaN","NaN"
3453.5,4825.288,74623920569.3469,-74623915744.0589,"NaN","NaN"
3460.5,4273.694,62652335643.0751,-62652331369.3811,"NaN","NaN"
3467.5,3745.172,52635998605.1979,-52635994860.0259,"NaN","NaN"
3474.5,3311.123,45435927257.7788,-45435923946.6558,"NaN","NaN"
3481.5,2987.051,41423670205.5241,-41423667218.4731,"NaN","NaN"
3488.6,2736.685,39891130377.1508,-39891127640.4658,"NaN","NaN"
3495.6,2543.254,40196529546.1581,-40196527002.9041,"NaN","NaN"
3502.6,2373.71,41264158383.767,-41264156010.057,"NaN","NaN"
3509.6,2177.936,41282229319.9858,-41282227142.0498,"NaN","NaN"
3516.6,1979.655,40272805758.8576,-40272803779.2026,"NaN","NaN"
3523.7,1786.746,38496843278.9526,-38496841492.2066,"NaN","NaN"
3530.7,1608.445,36458733846.2989,-36458732237.8539,"NaN","NaN"
3537.7,1528.613,37025914202.1577,-37025912673.5447,"NaN","NaN"
3544.7,1540.217,41310767731.5016,-41310766191.2846,"NaN","NaN"
3551.7,1640.886,49502371549.483,-49502369908.597,"NaN","NaN"
3558.8,1850.947,61771061800.9654,-61771059950.0184,"NaN","NaN"
3565.8,2112.278,75914852515.686,-75914850403.408,"NaN","NaN"
3572.8,2383.424,89723980534.5752,-89723978151.1512,"NaN","NaN"
3579.8,2700.955,103342826435.888,-103342823734.933,"NaN","NaN"
3586.8,3084.21,116951885240.008,-116951882155.798,"NaN","NaN"
3593.8,3573.184,131146663937.72,-131146660364.536,"NaN","NaN"
3600.9,4250.862,146893735683.982,-146893731433.12,"NaN","NaN"
3607.9,5085.99,162500032144.418,-162500027058.428,"NaN","NaN"
3614.9,5970.174,173766760505.201,-173766754535.027,"NaN","NaN"
3621.9,6784.615,177502416746.793,-177502409962.178,"NaN","NaN"
3628.9,7350.612,172379658687.113,-172379651336.501,"NaN","NaN"
3636,7539.609,161356477059.412,-161356469519.803,"NaN","NaN"
3643,6792.351,140514680554.576,-140514673762.225,"NaN","NaN"
3650,5652.135,116926939680.584,-116926934028.449,"NaN","NaN"
3657,4703.325,97298763377.876,-97298758674.551,"NaN","NaN"
3664,3913.787,80965387050.4876,-80965383136.7006,"NaN","NaN"
3671.1,3256.787,67373915929.8166,-67373912673.0296,"NaN","NaN"
3678.1,2710.077,56063999693.3479,-56063996983.2709,"NaN","NaN"
3685.1,2255.139,46652653697.757,-46652651442.618,"NaN","NaN"
3692.1,1876.572,38821167294.6324,-38821165418.0604,"NaN","NaN"
3699.1,1561.554,32304359769.9136,-32304358208.3596,"NaN","NaN"
3706.2,1299.418,26881516912.1358,-26881515612.7178,"NaN","NaN"
3713.2,1081.367,22369052338.9333,-22369051257.5663,"NaN","NaN"
3720.2,2138.464,33399324834.2615,-33399322695.7975,"NaN","NaN"
3727.2,3100.401,43875222990.2362,-43875219889.8352,"NaN","NaN"
3734.2,4038.932,55056051946.2225,-55056047907.2905,"NaN","NaN"
3741.2,4976.916,67321306417.4364,-67321301440.5204,"NaN","NaN"
3748.3,5868.634,79136522367.9931,-79136516499.3591,"NaN","NaN"
3755.3,6647.984,89150469651.7789,-89150463003.7949,"NaN","NaN"
3762.3,7315.015,97380963547.5551,-97380956232.5401,"NaN","NaN"
3769.3,7876.824,104593262129.243,-104593254252.419,"NaN","NaN"
3776.3,8350.366,114350686873.14,-114350678522.774,"NaN","NaN"
3783.4,8621.044,130490867179.466,-130490858558.422,"NaN","NaN"
3790.4,8620.619,141462987780.906,-141462979160.287,"NaN","NaN"
3797.4,8351.133,133933858661.816,-133933850310.683,"NaN","NaN"
3804.4,7828.946,113231818575.983,-113231810747.037,"NaN","NaN"
3811.4,7264.816,92491498430.2076,-92491491165.3916,"NaN","NaN"
3818.5,6675.671,75280416192.3125,-75280409516.6415,"NaN","NaN"
3825.5,6069.274,61673680749.4822,-61673674680.2082,"NaN","NaN"
3832.5,5478.251,51252944645.6159,-51252939167.3649,"NaN","NaN"
3839.5,4884.644,42930801713.746,-42930796829.102,"NaN","NaN"
3846.5,4293.989,35951370825.0812,-35951366531.0922,"NaN","NaN"
3853.6,3748.379,30231621310.7075,-30231617562.3285,"NaN","NaN"
3860.6,3259.03,25648124076.5119,-25648120817.4819,"NaN","NaN"
3867.6,2834.343,22178437711.6353,-22178434877.2923,"NaN","NaN"
3874.6,2484.089,19966709055.4343,-19966706571.3453,"NaN","NaN"
3881.6,2182.443,18758433847.8228,-18758431665.3798,"NaN","NaN"
3888.7,1915.999,18290453634.9064,-18290451718.9074,"NaN","NaN"
3895.7,1685.697,18500829098.1256,-18500827412.4286,"NaN","NaN"
3902.7,1572.413,21365813924.7994,-21365812352.3864,"NaN","NaN"
3909.7,1576.362,28381857035.9858,-28381855459.6238,"NaN","NaN"
3916.7,1706.495,40496939182.7856,-40496937476.2906,"NaN","NaN"
3923.8,2004.596,58332228159.5704,-58332226154.9744,"NaN","NaN"
3930.8,2320.625,77312061855.6525,-77312059535.0275,"NaN","NaN"
3937.8,2539.028,93106331970.5878,-93106329431.5598,"NaN","NaN"
3944.8,2724.624,106066759992.608,-106066757267.984,"NaN","NaN"
3951.8,2906.953,116602606200.682,-116602603293.729,"NaN","NaN"
3958.8,3230.643,127778201349.637,-127778198118.994,"NaN","NaN"
3965.9,4074.07,145208431615.727,-145208427541.657,"NaN","NaN"
3972.9,5164.003,157390437327.281,-157390432163.278,"NaN","NaN"
3979.9,5961.915,155961600643.544,-155961594681.629,"NaN","NaN"
3986.9,5668.346,139156445456.256,-139156439787.91,"NaN","NaN"
3993.9,4716.815,115796617049.988,-115796612333.173,"NaN","NaN"
4001,3925.015,96358198161.7915,-96358194236.7765,"NaN","NaN"
4008,3266.134,80182846968.1564,-80182843702.0224,"NaN","NaN"
4015,2717.856,66722693776.7043,-66722691058.8483,"NaN","NaN"
4022,2261.617,55522112135.6369,-55522109874.0199,"NaN","NaN"
4029,1881.964,46201730235.1361,-46201728353.1721,"NaN","NaN"
4036.1,1566.041,38445966278.2662,-38445964712.2252,"NaN","NaN"
4043.1,1303.149,31992142225.2686,-31992140922.1196,"NaN","NaN"
4050.1,1084.404,26621718148.9217,-26621717064.5177,"NaN","NaN"
4057.1,902.3931,22152788661.9457,-22152787759.5526,"NaN","NaN"
4064.1,750.9298,18434046730.5647,-18434045979.6349,"NaN","NaN"
4071.2,624.9676,15339568001.2865,-15339567376.3189,"NaN","NaN"
4078.2,1842.595,29977258331.6207,-29977256489.0257,"NaN","NaN"
4085.2,2894.472,42770072082.5096,-42770069188.0376,"NaN","NaN"
4092.2,3806.422,54088224238.7942,-54088220432.3722,"NaN","NaN"
4099.2,4613.143,64419258442.0536,-64419253828.9106,"NaN","NaN"
4106.2,5336.944,74028769393.3405,-74028764056.3965,"NaN","NaN"
4113.3,6030.366,83633780765.3633,-83633774734.9973,"NaN","NaN"
4120.3,6759.533,93621944162.9754,-93621937403.4424,"NaN","NaN"
4127.3,7436.727,103488342265.298,-103488334828.571,"NaN","NaN"
4134.3,8011.987,113163932465.667,-113163924453.68,"NaN","NaN"
4141.3,8434.494,125138580260.677,-125138571826.183,"NaN","NaN"
4148.4,8507.562,140244340018.983,-140244331511.421,"NaN","NaN"
4155.4,8251.911,148780573777.586,-148780565525.675,"NaN","NaN"
4162.4,7735.735,141404162127.812,-141404154392.077,"NaN","NaN"
4169.4,7018.866,121844072258.991,-121844065240.125,"NaN","NaN"
4176.4,6263.037,100511957958.706,-100511951695.669,"NaN","NaN"
4183.5,5484.868,81493094641.6955,-81493089156.8275,"NaN","NaN"
4190.5,4709.791,65678338451.5719,-65678333741.7809,"NaN","NaN"
4197.5,3981.223,53078078865.7724,-53078074884.5494,"NaN","NaN"
4204.5,3350.41,43695606940.6792,-43695603590.2692,"NaN","NaN"
4211.5,2829.586,37250658354.4488,-37250655524.8628,"NaN","NaN"
4218.6,2401.501,33087816948.3341,-33087814546.8331,"NaN","NaN"
4225.6,2051.237,30623050607.4328,-30623048556.1958,"NaN","NaN"
4232.6,1772.307,29559678886.8086,-29559677114.5016,"NaN","NaN"
4239.6,1566.683,30078480009.0769,-30078478442.3939,"NaN","NaN"
4246.6,1410.907,31793489805.8064,-31793488394.8994,"NaN","NaN"
4253.7,1291.355,34290842545.1284,-34290841253.7734,"NaN","NaN"
4260.7,1204.034,37385593195.446,-37385591991.412,"NaN","NaN"
4267.7,1188.969,42707428403.8203,-42707427214.8513,"NaN","NaN"
4274.7,1247.592,50921641442.5871,-50921640194.9951,"NaN","NaN"
4281.7,1384.629,62078002762.7888,-62078001378.1598,"NaN","NaN"
4288.8,1620.443,76179659195.8464,-76179657575.4034,"NaN","NaN"
4295.8,1961.589,92522260719.5433,-92522258757.9543,"NaN","NaN"
4302.8,2421.682,110248801395.046,-110248798973.364,"NaN","NaN"
4309.8,3036.884,128717247538.79,-128717244501.906,"NaN","NaN"
4316.8,3828.807,146606677734.371,-146606673905.564,"NaN","NaN"
4323.8,4731.506,161343556812.417,-161343552080.911,"NaN","NaN"
4330.9,5588.208,171288889253.526,-171288883665.318,"NaN","NaN"
4337.9,6393.393,176019434434.323,-176019428040.93,"NaN","NaN"
4344.9,7126.312,175597678067.895,-175597670941.583,"NaN","NaN"
4351.9,7745.78,170501615834.128,-170501608088.348,"NaN","NaN"
4358.9,8033.644,158108570463.96,-158108562430.316,"NaN","NaN"
4366,7461.934,138550784545.321,-138550777083.387,"NaN","NaN"
4373,6209.318,115292682912.373,-115292676703.055,"NaN","NaN"
4380,5166.975,95938829184.4536,-95938824017.4786,"NaN","NaN"
4387,4299.61,79833808905.8858,-79833804606.2758,"NaN","NaN"
4394,3577.846,66432305946.9823,-66432302369.1363,"NaN","NaN"
4401.1,2977.242,55280476483.3001,-55280473506.0581,"NaN","NaN"
4408.1,2477.459,46000694316.6582,-46000691839.1992,"NaN","NaN"
4415.1,2061.571,38278699861.5095,-38278697799.9385,"NaN","NaN"
4422.1,1715.489,31852919803.1382,-31852918087.6492,"NaN","NaN"
4429.1,1427.53,26505844564.7455,-26505843137.2155,"NaN","NaN"
4436.2,1187.928,22056372243.819,-22056371055.891,"NaN","NaN"
4443.2,988.5445,18353792416.7142,-18353791428.1697,"NaN","NaN"
4450.2,822.6231,15272817251.6929,-15272816429.0698,"NaN","NaN"
4457.2,684.554,12709017277.9196,-12709016593.3656,"NaN","NaN"
4464.2,569.698,10575588344.0523,-10575587774.3543,"NaN","NaN"
4471.2,1664.564,19407570531.8636,-19407568867.2996,"NaN","NaN"
4478.3,2853.579,30074518952.7617,-30074516099.1827,"NaN","NaN"
4485.3,3977.202,41211147668.7123,-41211143691.5103,"NaN","NaN"
4492.3,5037.964,52762824135.8677,-52762819097.9037,"NaN","NaN"
4499.3,5989.989,64295960983.8228,-64295954993.8338,"NaN","NaN"
4506.3,6795.701,77991395847.1953,-77991389051.4943,"NaN","NaN"
4513.4,7284.233,99213305325.3616,-99213298041.1286,"NaN","NaN"
4520.4,7409.668,116533496632.36,-116533489222.692,"NaN","NaN"
4527.4,7212.59,114401618984.73,-114401611772.14,"NaN","NaN"
4534.4,6731.167,97654929065.0184,-97654922333.8514,"NaN","NaN"
4541.4,6103.65,78544890144.8398,-78544884041.1898,"NaN","NaN"
4548.5,5371.621,61590000526.1792,-61589995154.5582,"NaN","NaN"
4555.5,4598.14,47715805572.8418,-47715800974.7018,"NaN","NaN"
4562.5,3854.713,36876345640.8817,-36876341786.1687,"NaN","NaN"
4569.5,3232.318,29171117059.0643,-29171113826.7463,"NaN","NaN"
4576.5,2749.946,24450629775.2444,-24450627025.2984,"NaN","NaN"
4583.6,2374.839,22114613890.0701,-22114611515.2311,"NaN","NaN"
4590.6,2085.334,21634621261.8622,-21634619176.5282,"NaN","NaN"
4597.6,1853.913,22354217936.1488,-22354216082.2358,"NaN","NaN"
4604.6,1648.673,23338237681.017,-23338236032.344,"NaN","NaN"
4611.6,1468.395,24287869088.9397,-24287867620.5447,"NaN","NaN"
4618.7,1307.425,25075988412.9478,-25075987105.5228,"NaN","NaN"
4625.7,1166.071,25831956566.2291,-25831955400.1581,"NaN","NaN"
4632.7,1101.741,28871319464.6229,-28871318362.8819,"NaN","NaN"
4639.7,1118.154,35686120437.5857,-35686119319.4317,"NaN","NaN"
4646.7,1225.701,46847547343.0479,-46847546117.3469,"NaN","NaN"
4653.8,1458.444,62657765314.6395,-62657763856.1955,"NaN","NaN"
4660.8,1853.893,82440313577.6838,-82440311723.7908,"NaN","NaN"
4667.8,2463.748,104599215496.55,-104599213032.802,"NaN","NaN"
4674.8,3350.507,126363968377.068,-126363965026.561,"NaN","NaN"
4681.8,4453.413,141539825453.448,-141539821000.035,"NaN","NaN"
4688.8,5523.544,146437491217.457,-146437485693.913,"NaN","NaN"
4695.9,6421.278,146803980595.077,-146803974173.799,"NaN","NaN"
4702.9,7158.346,144075975167.028,-144075968008.682,"NaN","NaN"
4709.9,7724.194,139090792994.423,-139090785270.229,"NaN","NaN"
4716.9,8105.271,132292761868.605,-132292753763.334,"NaN","NaN"
4723.9,8174.516,122472778946.661,-122472770772.145,"NaN","NaN"
4731,7153.329,104808912096.128,-104808904942.799,"NaN","NaN"
4738,5952.586,87214913640.789,-87214907688.203,"NaN","NaN"
4745,4953.369,72574390312.7284,-72574385359.3594,"NaN","NaN"
4752,4121.891,60391526711.5114,-60391522589.6204,"NaN","NaN"
4759,3429.974,50253712288.2865,-50253708858.3125,"NaN","NaN"
4766.1,2854.171,41817738184.3632,-41817735330.1922,"NaN","NaN"
4773.1,2375.047,34797863264.7675,-34797860889.7205,"NaN","NaN"
4780.1,1976.35,28956523980.9869,-28956522004.6369,"NaN","NaN"
4787.1,1644.613,24095652041.3589,-24095650396.7459,"NaN","NaN"
4794.1,1368.584,20050780557.7698,-20050779189.1858,"NaN","NaN"
4801.2,1138.879,16684909871.2499,-16684908732.3709,"NaN","NaN"
4808.2,947.7262,13884058321.7191,-13884057373.9929,"NaN","NaN"
4815.2,788.6592,11553377756.9519,-11553376968.2927,"NaN","NaN"
4822.2,656.2905,9613946982.37916,-9613946326.08866,"NaN","NaN"
4829.2,546.1432,8000076702.5672,-8000076156.424,"NaN","NaN"
4836.2,454.4692,6657124535.91752,-6657124081.44832,"NaN","NaN"
4843.3,1528.708,15018265982.4481,-15018264453.7401,"NaN","NaN"
4850.3,2788.229,26211223755.198,-26211220966.969,"NaN","NaN"
4857.3,4084.504,40607233256.9524,-40607229172.4484,"NaN","NaN"
4864.3,5200.281,58028110265.1349,-58028105064.8539,"NaN","NaN"
4871.3,5995.231,79546251350.0233,-79546245354.7923,"NaN","NaN"
4878.4,6607.721,102300017842.064,-102300011234.343,"NaN","NaN"
4885.4,7065.365,122980300661.664,-122980293596.299,"NaN","NaN"
4892.4,7377.934,138616477623.447,-138616470245.513,"NaN","NaN"
4899.4,7546.279,147378672981.444,-147378665435.165,"NaN","NaN"
4906.4,7508.614,147252945827.375,-147252938318.761,"NaN","NaN"
4913.5,7271.935,138813163913.251,-138813156641.316,"NaN","NaN"
4920.5,6871.495,124841117048.83,-124841110177.335,"NaN","NaN"
4927.5,6347.741,108405683642.586,-108405677294.845,"NaN","NaN"
4934.5,5789.206,92702106198.1103,-92702100408.9043,"NaN","NaN"
4941.5,5248.075,79405523830.2234,-79405518582.1484,"NaN","NaN"
4948.6,4728.421,68553556706.5211,-68553551978.1001,"NaN","NaN"
4955.6,4241.814,59939431757.465,-59939427515.651,"NaN","NaN"
4962.6,3808.246,53479520341.385,-53479516533.139,"NaN","NaN"
4969.6,3452.768,49390128025.6528,-49390124572.8848,"NaN","NaN"
4976.6,3153.405,47132914370.4985,-47132911217.0935,"NaN","NaN"
4983.7,2895.571,46162560919.5257,-46162558023.9547,"NaN","NaN"
4990.7,2677.154,46213841201.2431,-46213838524.0891,"NaN","NaN"
4997.7,2572.666,49130734738.6907,-49130732166.0247,"NaN","NaN"
5004.7,2568.123,55309409609.1196,-55309407040.9966,"NaN","NaN"
5011.7,2648.547,64418929763.3055,-64418927114.7585,"NaN","NaN"
5018.8,2817.498,76158824567.7992,-76158821750.3012,"NaN","NaN"
5025.8,3059.027,89631744554.5941,-89631741495.5671,"NaN","NaN"
5032.8,3366.776,104032846152.177,-104032842785.401,"NaN","NaN"
5039.8,3760.743,119198198699.899,-119198194939.156,"NaN","NaN"
5046.8,4256.096,134842197891.448,-134842193635.352,"NaN","NaN"
5053.8,4907.972,150787460287.948,-150787455379.976,"NaN","NaN"
5060.9,5778.961,164534172477.609,-164534166698.648,"NaN","NaN"
5067.9,6622.257,169108560110.653,-169108553488.396,"NaN","NaN"
5074.9,7170.915,163701572678.887,-163701565507.972,"NaN","NaN"
5081.9,7330.023,152756658030.986,-152756650700.963,"NaN","NaN"
5088.9,6520.656,132086773024.012,-132086766503.356,"NaN","NaN"
5096,5426.056,109913821511.983,-109913816085.927,"NaN","NaN"
5103,4515.194,91462983568.7501,-91462979053.5561,"NaN","NaN"
5110,3757.239,76109228229.3773,-76109224472.1383,"NaN","NaN"
5117,3126.518,63332951259.2444,-63332948132.7264,"NaN","NaN"
5124,2601.675,52701403338.4887,-52701400736.8137,"NaN","NaN"
5131.1,2164.937,43854579926.8515,-43854577761.9145,"NaN","NaN"
5138.1,1801.511,36492826424.1493,-36492824622.6383,"NaN","NaN"
5145.1,1499.094,30366870753.3469,-30366869254.2529,"NaN","NaN"
5152.1,1247.443,25269276559.5287,-25269275312.0857,"NaN","NaN"
5159.1,1038.036,21027369885.7845,-21027368847.7485,"NaN","NaN"
5166.2,863.801,17497554854.9861,-17497553991.1851,"NaN","NaN"
5173.2,718.821,14560274746.944,-14560274028.123,"NaN","NaN"
5180.2,598.1731,12116094638.5728,-12116094040.3997,"NaN","NaN"
5187.2,497.7753,10082205415.4674,-10082204917.6921,"NaN","NaN"
5194.2,414.2288,8389723345.2473,-8389722931.0185,"NaN","NaN"
5201.2,344.7056,6981370726.77107,-6981370382.06547,"NaN","NaN"
5208.3,740.0993,11084305864.5769,-11084305124.4776,"NaN","NaN"
5215.3,1978.557,25769600420.6206,-25769598442.0636,"NaN","NaN"
5222.3,3334.27,44687388836.8364,-44687385502.5664,"NaN","NaN"
5229.3,4580.075,67395496907.3135,-67395492327.2385,"NaN","NaN"
5236.3,5437.45,92108877741.8971,-92108872304.4471,"NaN","NaN"
5243.4,5971.084,114442924233.799,-114442918262.715,"NaN","NaN"
5250.4,6237.834,128553818816.358,-128553812578.524,"NaN","NaN"
5257.4,6269.61,130732715166.273,-130732708896.663,"NaN","NaN"
5264.4,6093.544,122512838601.434,-122512832507.89,"NaN","NaN"
5271.4,5800.577,109784219279.527,-109784213478.95,"NaN","NaN"
5278.5,5408.47,96054052819.6189,-96054047411.1489,"NaN","NaN"
5285.5,4939.068,82936673154.1856,-82936668215.1176,"NaN","NaN"
5292.5,4430.352,71216435370.3305,-71216430939.9785,"NaN","NaN"
5299.5,3938.354,61541431762.8763,-61541427824.5223,"NaN","NaN"
5306.5,3491.739,54075533652.3504,-54075530160.6114,"NaN","NaN"
5313.6,3091.655,48436868929.7181,-48436865838.0631,"NaN","NaN"
5320.6,2738.531,44237079538.0678,-44237076799.5368,"NaN","NaN"
5327.6,2447.864,41527580315.7509,-41527577867.8869,"NaN","NaN"
5334.6,2250.724,41129310232.9364,-41129307982.2124,"NaN","NaN"
5341.6,2117.598,42643895830.8179,-42643893713.2199,"NaN","NaN"
5348.7,2033.186,45600652769.7184,-45600650736.5324,"NaN","NaN"
5355.7,1989.215,49605981741.8151,-49605979752.6001,"NaN","NaN"
5362.7,1981.151,54363439402.0209,-54363437420.8699,"NaN","NaN"
