time,E0,QL0,EL_s0,EL_i0,QN_s0,QN_i0,EN_s0,EN_i0,QA_s0,QA_i0,EA0,H_s0,H_i0,cases
7.019231,6333.8005870907255,178.19257331916407,2.3128836987089794,277.97181727796675,15.029770687790913,156.57795391394944,1.6258793939329657,11.89675848896938,542.7321616731929,218539.1314187335,12616.480225233103,0.019231784806767262,0.09416955842404723,0
14.038461538423235,5270.392484409193,169.8860684078219,2.289813800920966,275.1991826590583,14.675284376188298,152.88496733988814,1.6204555459612109,11.857071529628044,537.5752279553486,216462.6157908269,12580.396270203617,0.0379146682355382,0.008880693793124847,0
21.057692307717844,4385.524387406593,161.9667739314644,2.2669740142205197,272.45420373127746,14.329158840519252,149.27908210729098,1.615049791660374,11.817516963891054,532.4672944022553,214405.83080392567,12544.415517634874,0.05624165704252638,0.000837496995471767,0
28.07692307692946,3649.2204725689803,154.41663994958296,2.2443620433612264,269.73660464252794,13.991196886790329,145.7582438779621,1.6096620706710554,11.778094350101265,527.407895424151,212368.58898142722,12508.537672362007,0.07421953074730443,0.00007898045285457764,0
35.09615384614108,3036.537681937636,147.21845792525824,2.221975615989829,267.04611229210707,13.661205971936763,142.32044676639686,1.604292322835021,11.738803248073449,522.3965698550415,210350.70462802207,12472.762440062963,0.0918549397254317,0.0000074482797751415014,0
42.115384615352696,2526.720751222823,140.35582150322253,2.1998124824189813,264.3824563033926,13.338998094143323,138.96373219716983,1.5989404881947724,11.69964321909125,517.4328609108965,208351.9938128662,12437.089527257964,0.10915440766769298,7.024126806531317e-7,0
49.134615384647304,2102.499103706908,133.81308911573302,2.1778704154005957,261.74536899660785,13.024389685728725,135.68618778901083,1.5936065069927665,11.660613825901486,512.5163161478994,206372.2743527657,12401.518641306177,0.12612433399375608,6.624127836540064e-8,0
56.15384615385892,1749.5017915844628,127.57534833205352,2.156147209903114,259.13458536204547,12.717201508578494,132.4859462654448,1.588290319671008,11.621714632710972,507.6464874214401,204411.36579566525,12366.04949040506,0.14277099621865036,6.246907381462746e-9,0
63.17307692307054,1455.7706651864182,121.62838186904443,2.1346406828883144,256.54984303324693,12.417258552007345,129.36118439073618,1.5829918668699852,11.582945205178886,502.8229308449161,202469.08940406,12330.681783585234,0.1591005522761467,5.891168285930443e-10,0
70.19230769228216,1211.3552782920901,115.95863518692984,2.1133486730929767,253.99088226076566,12.124389933067441,126.31012193131582,1.5777110894282673,11.54430511041386,498.04520674950516,200545.26813879606,12295.415230710045,0.17511904279589427,5.555687263131156e-11,0
77.21153846157677,1007.975806446829,110.55318559516357,2.092269040811215,251.45744588599993,11.838428799186252,123.33102064147374,1.5724479283817236,11.505793916968118,493.3128796439765,198639.7266428888,12260.249542472255,0.19083239333835772,5.2393106879275896e-12,0
84.23076923078838,838.7425593396833,105.39971279882023,2.071399667680396,248.94927931547014,11.559212233120974,120.42218327319026,1.567202324963123,11.467411194834565,488.62551817521614,196752.29122562785,12154.165404269796,0.2062464165860608,4.940950630458694e-13,0
91.25,697.9225853917266,100.48647081735228,2.0507384564667994,246.46613049505444,11.286581160121344,117.58195260897125,1.5619742206010725,11.429156515439212,483.98269508857715,194882.78984661095,11514.18572457032,0.2213668144949289,4.6595811141497307e-14,0
98.26923076921162,580.7454620919069,95.80226121298945,2.0302833308558377,244.0077498847785,11.020380257315512,114.80871051784324,1.5567635569196483,11.39102945163822,479.38398718915533,193031.05210015137,10693.297666449307,0.23619918040280835,4.394234588279053e-15,0
105.28846153842323,483.24169298954996,91.33640756678814,2.010032235243165,241.57389043371015,10.732449362767962,111.80908854932606,1.5761460078626066,11.642518299704976,1.3712718224617261e-43,5.521628791923642e-41,182461.98305841905,0.19415426637318084,0.023504069338825973,28978266.10033892
112.30769230771784,402.10823688871636,87.07873114450695,1.986080642172874,238.69529007167333,10.451606833136458,109.3092163908669,1.5985648534217372,11.93121459120709,2.3955158007234503e-96,9.64589864687591e-94,165909.05492122367,0.15753441240151397,0.021536848661770476,37.21070535261964
119.32692307692946,334.5966139093043,83.01952769706747,1.9551383283030097,234.97651630799717,10.185383708658462,107.73725077617445,1.6203195378792645,12.212772978666617,4.184798277137533e-149,1.6850709156958609e-146,148995.01310137645,0.13160239108891097,0.0177440814153565,37.471007065698934
126.34615384614108,278.4197978778422,79.14954534197874,1.9165196231045813,230.335162455696,9.934145390959936,107.15910282871816,1.6412206213238418,12.488476332695075,0.00001908775958422677,0.00014523252225801683,131771.68321566746,0.11296547548364566,0.014928010491606199,38.39498867381599
133.3653846153527,231.67474095045839,75.45996347631876,1.8676406307793938,224.46068535555813,9.700129690510778,107.86513389432271,1.652443903834266,12.694284770329476,0.0001375779822608789,0.001056804431293162,113922.67009277533,0.09928994106383585,0.013001659468167804,51.65060690005648
140.3846153846473,192.6965466401731,72.02489993113139,1.8087737455417356,217.38582245772238,9.482709355174453,109.80080233809122,1.6493200232792367,12.796648439528672,0.00025474085197682805,0.0019762954197890146,96019.28424200973,0.08897588708425909,0.011701547244565246,73.18832220567704
147.40384615385892,159.23415583952672,69.83976313682862,1.740612592221136,209.19393642952969,9.280854813873576,112.8626612135081,1.6322348423168718,12.79976893871315,0.00036760228869235043,0.002882413537190886,78736.01871468252,0.08094820738890432,0.01082518828652836,96.77755597554147
154.42307692307054,130.41064072254846,68.80532586811867,1.6634062607836522,199.91496392130486,9.094001884336064,117.00265759824124,1.6011802505033073,12.704091421368254,0.0005099902893964758,0.004045939664868498,62591.723566910565,0.07447993093225949,0.010236018111490428,123.44036340107466
