"emscripten(JS)","c","Diff in y(1)"
257.736259500627,257.7363,-4.04993728011505E-05
214.488591383404,214.4886,-8.616595522426E-06
178.487910042917,178.4879,1.00429172675831E-05
148.528018439689,148.528,1.84396892848326E-05
123.593685329314,123.5937,-1.46706856298806E-05
102.85156558784,102.8516,-3.44121604030079E-05
85.5893714184055,85.58937,1.41840550327288E-06
71.221437136522,71.22144,-2.86347801647935E-06
92.711863144293,92.71186,3.14429300374286E-06
131.930042311515,131.93,4.23115146190867E-05
182.277719851417,182.2777,1.98514169653663E-05
241.08307525845,241.0831,-2.47415503338289E-05
308.136565514949,308.1366,-3.44850510600736E-05
399.839539575364,399.8395,3.95753643260832E-05
539.551579430317,539.5516,-2.05696826469648E-05
744.943897375577,744.9439,-2.62442267739971E-06
1021.00055528836,1021.001,-0.000444711636874
1355.11004256758,1355.11,4.25675773385592E-05
1720.3061896882,1720.306,0.000189688195633
2075.53416302927,2075.534,0.000163029268606
2395.89889207304,2395.899,-0.000107926960936
2667.38255254469,2667.383,-0.000447455311587
2884.20631483468,2884.206,0.000314834680921
3044.44544128324,3044.445,0.00044128323907
3152.15883552952,3152.159,-0.000164470484378
3213.59968140964,3213.6,-0.000318590363349
3236.534023624,3236.534,2.36239966397989E-05
3228.15161934971,3228.152,-0.000380650290936
3194.05865349221,3194.059,-0.000346507787526
3142.10128911593,3142.101,0.000289115929718
3081.09691580705,3081.097,-8.41929545458697E-05
3018.42143977325,3018.421,0.000439773245489
2960.28819843946,2960.288,0.000198439456199
2910.36419415553,2910.364,0.000194155528334
2870.53723928917,2870.537,0.000239289167439
2841.91764051829,2841.918,-0.000359481705345
2808.99073954718,2808.991,-0.00026045281902
2751.11528965532,2751.115,0.000289655323741
2662.00238699135,2662.002,0.00038699135348
2537.20286579402,2537.203,-0.000134205982704
2368.14924984799,2368.149,0.000249847991654
2131.87539633576,2131.875,0.00039633575534
1866.89000374116,1866.89,3.74115802515007E-06
1612.51368736393,1612.514,-0.000312636068657
1345.09475977934,1345.095,-0.000240220663954
1119.27555197158,1119.276,-0.000448028421943
931.42988822451,931.4299,-1.17754902930756E-05
775.082572500314,775.0826,-2.74996862117405E-05
644.963216137903,644.9632,1.61379030032549E-05
536.726183450401,536.7262,-1.65495986266251E-05
446.643557744965,446.6436,-4.22550351686368E-05
371.67427694458,371.6743,-2.30554195468358E-05
309.29102859316,309.291,2.85931596408773E-05
257.380937481845,257.3809,3.74818453678927E-05
214.173565271208,214.1736,-3.47287917747963E-05
178.227392107534,178.2274,-7.89246573162927E-06
148.31621347033,148.3162,1.34703303160677E-05
123.4215769032,123.4216,-2.30968000494158E-05
136.793893613799,136.7939,-6.38620062431983E-06
163.667634758865,163.6676,3.47588652971353E-05
188.728559640837,188.7286,-4.03591626536581E-05
214.473666657514,214.4737,-3.33424858922626E-05
252.883677846569,252.8837,-2.2153431160632E-05
316.367902528015,316.3679,2.52801464739605E-06
419.085700895567,419.0857,8.95566927283653E-07
602.410125477157,602.4101,2.54771572372192E-05
895.29996292328,895.3,-3.70767202184652E-05
1259.23691164421,1259.237,-8.835578637445E-05
1658.74008810801,1658.74,8.81080143244617E-05
2059.54419619525,2059.544,0.000196195247099
2432.68275777271,2432.683,-0.000242227290983
2756.98349738406,2756.983,0.000497384056871
3022.12469176775,3022.125,-0.000308232245516
3225.12094812005,3225.121,-5.18799470228259E-05
3368.3992631129,3368.399,0.000263112904577
3455.96548529226,3455.965,0.000485292264329
3496.08297382564,3496.083,-2.61743612099963E-05
3500.91848281568,3500.918,0.00048281567706
3482.13894360637,3482.139,-5.63936332582671E-05
3451.54968702941,3451.55,-0.000312970593313
3422.47322034697,3422.473,0.000220346972128
3398.67057079594,3398.671,-0.000429204056218
3381.17442271374,3381.174,0.000422713744683
3370.05452271127,3370.055,-0.000477288730508
3360.30640717147,3360.306,0.000407171465667
3340.61259812191,3340.613,-0.000401878090997
3306.42532118148,3306.425,0.000321181475556
3253.87038250063,3253.87,0.000382500631986
3194.11196843669,3194.112,-3.15633069476462E-05
3140.76540738797,3140.765,0.000407387970426
3091.21326485011,3091.213,0.000264850108579
3041.14866813294,3041.149,-0.000331867059231
2981.04038881568,2981.04,0.000388815675706
2890.38196321134,2890.382,-3.67886609637935E-05
2759.62772838718,2759.628,-0.00027161281605
2566.37313942047,2566.373,0.00013942046553
