"p","omega","delta","mu_e","mu_ql","mu_el","mu_qn","mu_en","mu_qa","mu_ea","mu_h","beta_nh","beta_hl","beta_hn","lambda_l","lambda_n","lambda_a","alpha","f_l","f_n","f_a","kappa","c","Tf","obsprob","T_min_l","gamma","E0","QL0","EL_s0","EL_i0","QN_s0","QN_i0","EN_s0","EN_i0","QA_s0","QA_i0","EA0","H_s0","H_i0","LogLikjs_subplex","LogLikR","loglikPureJS"
2000,111.348754393751,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.001729771110708,0.021839484243609,0.00509440651156,65.140205078125,0.619911826581868,0.577702626426316,0.737021898831015,0.000377214041659,0.4,4,0.61513704970266,3.11730387446954,0.082255859375,432.997911425603,824.696570483032,188.016749203359,32.160146575986,69.5094653014133,80.8680493480973,11.308076120559,20.6615127121761,296.273572903892,20.3157365319198,54.5567022241871,0.096269637038948,0.013447233523339,-8658.963891,-8660.39409781648,-8660.08384849993
2000,48.3988668943384,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.011834940116129,0.02677341569278,0.007239112818541,15.145205078125,0.163709991596508,0.770887239897285,0.22664715015278,0.004102912627405,0.4,4,0.289485426535981,8.07092198241769,0.327255859375,200.603246943116,16239.9075460153,41.7170653627571,3.10280746542805,24.5122545199464,6.25977511293902,57.0637470440383,63.8278236951184,5.30176758966804,66.2990810677347,6.64671990700789,0.33651668704462,0.264713695498827,-8700.962242,-8701.7383428103,-8702.77797589367
2000,3.50711746077818,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.000338221514115,5.31569875601579,0.002707414965199,90.137705078125,0.216119358528445,0.688635869561205,0.295471457355031,0.27069189559341,0.4,4,0.252301431015397,6.95082760816894,0.449755859375,86.6605240535158,31.0434717230904,22.0886021431934,7.59307669071068,76.759895091782,127.104857179769,44.4731928428104,16.7545270145419,91.2360146534198,47.4371684925322,45.8688423187875,0.462692284860713,0.262408719290531,"NaN",-14443.9480236422,"NaN"
2000,66.1868456347987,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.007934758790688,0.017712592466603,0.023348409275784,40.142705078125,0.861141327931101,0.947152555550731,0.892642180003698,0.04804314543868,0.4,4,0.253365435848585,7.85562956839814,0.204755859375,119.749699341973,31.2890260408902,22.2338867933972,0.119796834521271,117.446790613708,27.0591911297707,199.726307601236,18.7826234655681,34.6172336089478,49.6233327455514,74.0349860744637,0.260082173673832,0.3348583827848,-8876.717458,-8877.52124673555,-8878.89537345004
2000,716.413755530217,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.000234916654804,0.332141186932147,0.001890330686808,77.638955078125,0.999746889290511,0.229184262157257,0.237730798802062,0.006649263286346,0.4,4,0.242698079944581,7.81538059100835,0.143505859375,56.0988438686201,163.386468925486,6.1759354902835,0.899311742505711,170.606307360264,11.6803684692539,499.822649611101,1.77804550130247,549.904236578435,80.5996340203174,77.6062001942003,0.072671533503111,0.239366323616921,-13200.218134,"NA",-13200.514429251
2000,80.1619460769049,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.006091111793441,0.082247453957587,0.004992956066891,27.643955078125,0.504589705868111,0.379088117488221,0.91711628775786,0.010938977013755,0.4,4,0.56067563323326,2.97154713985369,0.388505859375,198.231430141071,11.6369446491833,90.4521310346047,16.5360625307212,7.31585256742333,10.6931114394717,91.3173806599191,60.1086604786635,6.68260504184468,2.49164187489977,0.288219863173795,0.19223184559184,0.174514633739303,-8684.464872,-8685.0154595638,-8685.81657238522
2000,77.8108596927418,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.006724536576007,0.051007961365685,0.003610768786707,52.641455078125,0.274962358221457,0.539244216320509,0.568494835808931,0.015372315376643,0.4,4,0.344894094704633,8.81761582506551,0.266005859375,7.42747672316925,20.6717688955826,126.682426653609,16.7036570516484,9.22756451874541,40.0374492968034,23.3334599699005,28.0336848724257,126.625344920914,10.7113410762953,27.0287383091421,0.481730190193228,0.392784067177773,-8636.044127,-8636.85458740995,-8636.48279494369
2000,39.249690033226,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.018466298708246,0.001650027387551,0.352261397865985,2.646455078125,0.747389549749762,0.415934848116327,0.125022934934412,0.005838296023,0.4,4,0.337130629137652,0.727890184735319,0.021005859375,259.361862208336,2.46591837792093,5.3369332556196,42934.5690083077,51.4554369889063,76.0831007893944,0.017377130477611,0.007444344731212,24.9449911829711,171.075725661319,21.2894009768141,0.000548375462146,0.994600261907581,-8643.4969,-8643.75854447389,-8643.60640093725
2000,39.3300817007468,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.000752568853753,189.607230406724,0.003342556630823,71.389580078125,0.835378212267454,0.808597184100868,0.504209852836051,0.024341338722931,0.4,4,0.05482023157777,2.03315479730954,0.296630859375,501.34634166181,4.92871159868997,8.29606304139436,21.7673836199658,16.8150223873298,14.7593261861522,51.0333747486415,1.10740914422749,65.8986944610106,3.4290012169634,6.42326543603355,0.039720554121476,0.837080275365327,-8637.273525,-8649.91781951729,-8650.33792406856
2000,69.341622131021,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.011989199432431,0.006394103654094,0.050729849237785,21.394580078125,0.124419517434095,0.291213858962497,0.993206257558294,1.34141855900791,0.4,4,0.171143621128126,9.20070359172357,0.051630859375,0.060756018613534,3846.01026397292,5.32841618032597,97.3949125132854,2.1841187801821,61.9636243361025,2.27441184621235,1.3275135753348,218.752000080267,59.1489367332224,28.0320876054297,0.382959424172054,0.244155356479967,-8768.38524,-8768.89671482622,-8768.81035917634
