,"E","QL","EL_s","EL_i","QN_s","QN_i","EN_s","EN_i","QA_s","QA_i","EA","H_s","H_i","cases"
"334",109121774009.72,8688542850.53094,683924878.576873,62066093753.1045,208737221.84801,49311148134.3933,3.34645594949687E-07,4810549678.46696,3.44806183124539E-09,49245928.1701703,557391867.761029,8.29307239085928E-11,0.008155435837104,1620257028557.81
"335",107583050342.79,13372671362.62,620302408.27438,59032163937.555,259016391.479966,53117315086.9942,3.0557793923492E-07,4648897182.81506,3.4682046098766E-09,52380072.6351697,673977736.325474,7.6988251804829E-11,0.00815248223985,1924247128935.19
"336",98746473557.8323,17167305401.4948,557892958.42848,56867882123.9284,307279684.017286,57071877400.3048,2.76806965638569E-07,4485865416.41207,3.42255335592071E-09,55015591.2114873,744444406.49826,7.16536718598499E-11,0.008152203167142,2123945083206.64
"337",87069567332.7764,19849904569.1484,497463963.177001,55257726730.5415,352812857.272215,61212642801.1014,2.48756192235759E-07,4325116486.44051,3.32691895073441E-09,57322869.5207125,781066836.502835,6.68066067006109E-11,0.008152176682556,2326555066984.45
"338",75066673963.6591,21445750900.1217,439690104.54207,53885917772.0937,395006468.454752,65557383257.5549,2.2178715700708E-07,4170015512.06428,3.18909591455377E-09,59359054.4132139,794538234.748481,6.23790793536992E-11,0.008152174177185,2534060261611.57
"339",64707992464.6382,21935102951.2921,386580790.895097,52665009092.8774,431935546.876672,69908569414.7382,1.96827644398781E-07,4035713255.50545,2.88568926764411E-09,58507815.4460441,794139627.462816,5.84965369058256E-11,0.00815217393901,2659740598557.3
"340",56796801125.7162,21565231452.0685,339339135.128497,51515149290.4372,462519172.836683,74081288759.2548,1.74433230377626E-07,3932369597.78494,2.58844984751598E-09,57644994.5031891,784312365.407464,5.52016477447281E-11,0.008152173916295,2684543653847.95
"341",50926368894.3318,20746187421.0356,297389018.014674,50276533484.5195,487451913.954767,78074882470.8385,1.54371296778985E-07,3855842438.16955,2.31822701767156E-09,57148145.8781484,771491972.827745,5.2378037851931E-11,0.008152173913988,2719548283433.66
"342",46637975601.1366,19746601110.9348,260201853.869434,48890579777.0578,507367035.085929,81875821627.9695,1.36426530892054E-07,3802320280.1028,2.07301076011104E-09,56974010.870722,759221676.862595,4.9946479586779E-11,0.008152173913672,2765170700692.72
"343",43509140157.1446,18728052496.7259,227299316.57135,47358884035.8232,522835060.797834,85466036979.4831,1.20402597369362E-07,3768341390.12854,1.85016672507571E-09,57058572.2759292,749180010.94295,4.78483542149944E-11,0.008152173913528,2819438829135.05
