"","x"
"1",83.9348284395569
"2",69.8448913149816
"3",58.1202069800417
"4",48.3637250807354
"5",40.2450361526381
"6",33.4892088512326
"7",27.8674644031981
"8",23.189427068037
"9",19.2966794531698
"10",16.0573971907893
"11",13.3618854783223
"12",201.031505471807
"13",1561.58351866559
"14",2881.66437139219
"15",4092.55986360253
"16",5162.01183293073
"17",6001.66426931661
"18",6633.18016977978
"19",7081.76042758597
"20",7409.81181664377
"21",7638.7977989108
"22",7796.64514801143
"23",7817.43806632625
"24",7760.23356049156
"25",7680.55056534581
"26",7573.74956940431
"27",7428.57698893821
"28",7237.73848931608
"29",7013.89291870391
"30",6787.90435920403
"31",6596.80377866691
"32",6484.81344920855
"33",6434.0048557936
"34",6408.93155112989
"35",6373.85579190513
"36",6336.22349356993
"37",6289.46625064559
"38",6232.45343582998
"39",6176.91703488908
"40",6238.05876742013
"41",6514.59648038512
"42",6997.32282782612
"43",7570.39553264373
"44",7957.04305319028
"45",8128.40199229211
"46",8045.90364792617
"47",7761.54685999219
"48",7378.12091543213
"49",6139.57503383106
"50",5108.94062092192
"51",4251.31633009622
"52",3537.65913003327
"53",2943.80167812194
"54",2449.63352190945
"55",2038.42004557169
"56",1696.23587693472
"57",1411.49327033626
"58",1174.54998782013
"59",977.380760356278
"60",813.31020912684
"61",676.78198623552
"62",563.172283365787
"63",483.360999965936
"64",1247.27037291625
"65",1887.60103641353
"66",2512.69307829344
"67",3233.6950240636
"68",4072.52863099442
"69",4940.89056778858
"70",5740.51756812148
"71",6399.57537295008
"72",6882.73173502697
"73",7098.11789960501
"74",6951.25016857635
"75",6479.64995939896
"76",5778.0816357266
"77",4965.70691555989
"78",4146.19168680781
"79",3396.11387389162
"80",2747.18730963082
"81",2200.72332954638
"82",1749.87464690169
"83",1382.05036735538
"84",1083.01066782949
"85",843.199582025191
"86",652.985115187457
"87",505.785696019991
"88",413.611234607125
"89",374.020724724821
"90",394.524132176501
"91",506.82390261699
"92",747.409940046985
"93",1171.09991346152
"94",1868.50744713824
"95",2885.00554452172
"96",4058.51577957467
"97",5133.8330369595
"98",5972.1317080798
"99",6490.31401326034
"100",6743.29049620808
"101",6045.15406269283
"102",5030.37001372943
"103",4185.93504745867
"104",3483.25318208726
"105",2898.52872114462
"106",2411.96041864138
"107",2007.07102126973
"108",1670.1493317397
"109",1389.78580407388
"110",1156.48615417116
"111",962.349920981477
"112",800.802935025525
"113",666.37385269144
"114",554.511325543632
"115",461.426958335957
"116",383.968376062211
"117",390.082768256094
"118",1582.73289911629
"119",2770.93755017726
"120",3979.41694639915
"121",5070.90374689735
"122",5904.43959375526
"123",6374.50205879406
"124",6477.75507205684
"125",6219.52631833783
"126",5662.36563055654
"127",5056.67032569224
"128",4469.95334112621
"129",3934.0151786253
"130",3474.78752946019
"131",3103.08713532811
"132",2816.56524209521
"133",2604.41699362714
"134",2452.12262101349
"135",2345.68121300616
"136",2273.41591769356
"137",2219.80044910357
"138",2173.20367506356
"139",2134.45730527245
"140",2180.94658689595
"141",2312.81136696853
"142",2527.17856207267
"143",2834.14476503686
"144",3236.76209824816
"145",3739.16202421564
"146",4348.97204696761
"147",5060.37629040881
"148",5882.246518192
"149",6576.27640162799
"150",6735.3151951713
"151",5896.61457376622
"152",4906.76446409932
"153",4083.07832643614
"154",3397.66330019044
"155",2827.30652991025
"156",2352.69406360801
"157",1957.75355042091
"158",1629.11066610563
"159",1355.63618933242
"160",1128.06919041569
"161",938.703267325329
"162",781.125667914456
"163",650.00021688535
"164",540.886552017861
"165",450.089050357527
"166",374.533691354972
"167",682.541465670925
"168",1677.67511082068
"169",2826.22519966336
"170",3970.43985492419
"171",4948.97885376634
"172",5770.20320728342
"173",6453.10061680399
"174",7021.57301227117
"175",7465.32634459321
"176",7765.53141624942
"177",7888.19865652737
"178",7784.1967695648
"179",7454.60170299218
"180",6927.0431592756
"181",6263.10436398773
"182",5538.82270665934
"183",4815.37323008297
"184",4134.73819454847
"185",3520.08433446662
"186",2977.55446135474
"187",2521.19232815695
"188",2172.34040297439
"189",1897.48391489882
"190",1677.03669648661
"191",1501.4066471636
"192",1391.92969175707
"193",1342.7032209118
"194",1349.43135068189
"195",1415.44153694834
"196",1630.22036998797
"197",2115.87385942053
"198",2949.24004447087
"199",4082.57089223273
"200",5156.71015737514
"201",6038.36505857116
"202",6743.85481179201
"203",7281.75131081379
"204",7637.99367313437
"205",7680.65052983715
"206",7296.59707459251
"207",6071.73625205566
"208",5052.49020245355
"209",4204.34210195911
"210",3498.57033717523
"211",2911.27462100687
"212",2422.56669722215
"213",2015.8968523674
"214",1677.49375733893
"215",1395.89744573546
"216",1161.57198503552
"217",1725.44601639189
"218",2476.9872363005
"219",3068.10218431572
"220",3526.36589615543
"221",3874.7841392825
"222",4197.87550050658
"223",4669.22619411106
"224",5316.06153236699
"225",6040.51968340872
"226",6704.36356003074
"227",7216.9242549793
"228",7570.7101154695
"229",7717.42662348128
"230",7596.6165993714
"231",7243.62912168861
"232",6709.85091449998
"233",6064.76923071573
"234",5381.26695742899
"235",4665.08129334324
"236",3949.47067871766
"237",3291.4828483506
"238",2712.41207594733
"239",2243.68061742103
"240",1928.27470891962
"241",1722.00042246736
"242",1600.83788299181
"243",1553.78461477039
"244",1603.29784035915
"245",1754.33443349667
"246",2016.10611959186
"247",2408.04756448262
"248",2897.77598282718
"249",3458.75346920932
"250",4106.46556883876
"251",4838.57714426258
"252",5668.29518694256
"253",6455.64976947057
"254",6854.27901054771
"255",6725.68445987534
"256",5596.66081603715
