Year, Month,Temperature
1931,4,7.13
1931,5,16.79032258
1931,6,19.45666667
1931,7,20.53548387
1931,8,18.05806452
1931,9,11.62333333
1931,10,8.348387097
1931,11,3.676666667
1931,12,-1.441935484
1932,1,-0.470967742
1932,2,-3.668965517
1932,3,0.032258065
1932,4,9.33
1932,5,15.05806452
1932,6,16.97333333
1932,7,21.55806452
1932,8,21.26451613
1932,9,18.48
1932,10,10.3516129
1932,11,4.163333333
1932,12,-0.077419355
1933,1,-3.567741935
1933,2,0.039285714
1933,3,5.1
1933,4,7.82
1933,5,13.17741935
1933,6,14.98333333
1933,7,19.30967742
1933,8,19.05483871
1933,9,14.26666667
1933,10,9.712903226
1933,11,4
1933,12,-5.04516129
1934,1,-0.941935484
1934,2,0.910714286
1934,3,7.235483871
1934,4,12.48666667
1934,5,16.23225806
1934,6,17.32666667
1934,7,20.36451613
1934,8,18.7516129
1934,9,16.19666667
1934,10,9.919354839
1934,11,5.61
1934,12,5.012903226
1935,1,-3.209677419
1935,2,0.975
1935,3,2.574193548
1935,4,9.226666667
1935,5,12.00967742
1935,6,19.41333333
1935,7,19.77419355
1935,8,18.83548387
1935,9,14.67333333
1935,10,11.89677419
1935,11,4.76
1935,12,0.35483871
1936,1,4.05483871
1936,2,1.572413793
1936,3,6.641935484
1936,4,9.456666667
1936,5,14.93870968
1936,6,17.51
1936,7,20.80645161
1936,8,17.77419355
1936,9,14.58
1936,10,6.219354839
1936,11,3.916666667
1936,12,0.2
1937,1,-3.5
1937,2,1.860714286
1937,3,6.093548387
1937,4,9.226666667
1937,5,16.2
1937,6,19
1937,7,19.55806452
1937,8,18.80967742
1937,9,15.10333333
1937,10,10.4
1937,11,4.293333333
1937,12,-0.183870968
1938,1,-0.625806452
1938,2,1.339285714
1938,3,7.54516129
1938,4,6.203333333
1938,5,12.60645161
1938,6,19.12666667
1938,7,20.2
1938,8,19.0483871
1938,9,14.01333333
1938,10,10.93548387
1938,11,5.973333333
1938,12,-1.593548387
1939,1,0.967741935
1939,2,2.032142857
1939,3,2.016129032
1939,4,12.48666667
1939,5,13.26129032
1939,6,17.90333333
1939,7,20.27419355
1939,8,19.70645161
1939,9,14.43
1939,10,8.719354839
1939,11,4.953333333
1939,12,-1.703225806
1940,1,-8.361290323
1940,2,-6.017241379
1940,3,2.606451613
1940,4,9.736666667
1940,5,12.79677419
1940,6,17.6
1940,7,18.60645161
1940,8,16.04193548
1940,9,14.74666667
1940,10,9.106451613
1940,11,6.486666667
1940,12,-4.45483871
1941,1,-4.093548387
1941,2,0.125
1941,3,5.148387097
1941,4,8.376666667
1941,5,11.35483871
1941,6,17.49
1941,7,19.2
1941,8,17.49677419
1941,9,13.07666667
1941,10,8.883870968
1941,11,1.123333333
1941,12,0.009677419
1942,1,-8.777419355
1942,2,-3.828571429
1942,3,1.912903226
1942,4,8.21
1942,5,14.6483871
1942,6,17.53666667
1942,7,18.3483871
1942,8,19.21612903
1942,9,18.31666667
1942,10,12.19032258
1942,11,3.633333333
1942,12,2.022580645
1943,1,-5.370967742
1943,2,2.767857143
1943,3,5.383870968
1943,4,11.48
1943,5,13.78709677
1943,6,16.37333333
1943,7,19.30322581
1943,8,21.1516129
1943,9,16.93333333
1943,10,11.24516129
1943,11,3.413333333
1943,12,1.222580645
1944,1,2.422580645
1944,2,-0.431034483
1944,3,1.667741935
1944,4,10.49666667
1944,5,13.07419355
1944,6,16.43333333
1944,7,19.3516129
1944,8,20.73548387
1944,9,14.2
1944,10,10.76774194
1944,11,4.333333333
1944,12,-0.648387097
1945,1,-5.232258065
1945,2,1.985714286
1945,3,6.612903226
1945,4,10.81333333
1945,5,16.21612903
1945,6,19.20333333
1945,7,20.99032258
1945,8,19.26451613
1945,9,15.22333333
1945,10,9.703225806
1945,11,4.33
1945,12,1.635483871
1946,1,-3.503225806
1946,2,2.875
1946,3,6.183870968
1946,4,12.05
1946,5,17.29677419
1946,6,19.20333333
1946,7,21.33870968
1946,8,20.61612903
1946,9,16.59333333
1946,10,6.925806452
1946,11,4.356666667
1946,12,-1.761290323
1947,1,-6.041935484
1947,2,-3.860714286
1947,3,4.964516129
1947,4,12.36333333
1947,5,15.9483871
1947,6,19.52333333
1947,7,21
1947,8,20.05806452
1947,9,18.64333333
1947,10,8.025806452
1947,11,6.47
1947,12,1.974193548
1948,1,2.541935484
1948,2,-0.037931034
1948,3,5.541935484
1948,4,11.39333333
1948,5,16.79032258
1948,6,17.21
1948,7,18.07419355
1948,8,18.78387097
1948,9,15.59
1948,10,10.44516129
1948,11,4.2
1948,12,-2.05483871
1949,1,1.506451613
1949,2,1.285714286
1949,3,2.351612903
1949,4,11.49666667
1949,5,14.93870968
1949,6,16.26333333
1949,7,19.61290323
1949,8,18.30967742
1949,9,16.74666667
1949,10,11.21612903
1949,11,5.873333333
1949,12,2.119354839
1950,1,-4.34516129
1950,2,1.389285714
1950,3,6.203225806
1950,4,10.06666667
1950,5,16.51290323
1950,6,19.44666667
1950,7,22.13225806
1950,8,20.58709677
1950,9,15.73333333
1950,10,8.106451613
1950,11,5.273333333
1950,12,0.887096774
1951,1,0.896774194
1951,2,3.432142857
1951,3,4.151612903
1951,4,9.806666667
1951,5,13.97096774
1951,6,17.86333333
1951,7,19.49677419
1951,8,20.34516129
1951,9,16.91
1951,10,7.958064516
1951,11,7.46
1951,12,1.406451613
1952,1,-1.112903226
1952,2,-0.962068966
1952,3,1.95483871
1952,4,12.31666667
1952,5,13.74193548
1952,6,17.84333333
1952,7,21.4516129
1952,8,21.62903226
1952,9,13.06666667
1952,10,9.090322581
1952,11,2.66
1952,12,-0.612903226
1953,1,-1.425806452
1953,2,0.567857143
1953,3,3.993548387
1953,4,10.42333333
1953,5,13.92903226
1953,6,18.22333333
1953,7,20.67419355
1953,8,17.82580645
1953,9,15.75
1953,10,11.15806452
1953,11,2.943333333
1953,12,-0.041935484
1954,1,-5.838709677
1954,2,-6.789285714
1954,3,5.219354839
1954,4,7.176666667
1954,5,13.56774194
1954,6,18.71333333
1954,7,17.28064516
1954,8,18.51935484
1954,9,15.82
1954,10,9.316129032
1954,11,3.33
1954,12,2.925806452
1955,1,-1.896774194
1955,2,-0.171428571
1955,3,1.141935484
1955,4,7.443333333
1955,5,12.89677419
1955,6,16.69666667
1955,7,19.14516129
1955,8,17.81612903
1955,9,14.69666667
1955,10,9.14516129
1955,11,4.063333333
1955,12,1.677419355
1956,1,-0.064516129
1956,2,-9.562068966
1956,3,0.932258065
1956,4,8.433333333
1956,5,14.08387097
1956,6,16.10666667
1956,7,19.18387097
1956,8,18.09354839
1956,9,14.87333333
1956,10,8.996774194
1956,11,1.633333333
1956,12,-0.687096774
1957,1,-3.509677419
1957,2,3.1
1957,3,6.125806452
1957,4,9.083333333
1957,5,11.65806452
1957,6,19.60666667
1957,7,20.09354839
1957,8,17.43225806
1957,9,13.66666667
1957,10,8.8
1957,11,5.533333333
1957,12,0.306451613
1958,1,-2.390322581
1958,2,2.625
1958,3,0.283870968
1958,4,7.303333333
1958,5,17.9483871
1958,6,16.86
1958,7,19.96774194
1958,8,19.21612903
1958,9,15.14
1958,10,10.42580645
1958,11,5.26
1958,12,2.225806452
1959,1,-0.412903226
1959,2,-1.257142857
1959,3,6.796774194
1959,4,9.98
1959,5,13.93548387
1959,6,16.86333333
1959,7,20.21290323
1959,8,18.25806452
1959,9,13.57666667
1959,10,8.058064516
1959,11,4.273333333
1959,12,2.783870968
1960,1,-1.487096774
1960,2,-0.682758621
1960,3,4.580645161
1960,4,9.313333333
1960,5,13.38387097
1960,6,18.38333333
1960,7,17.40322581
1960,8,18.53870968
1960,9,13.40666667
1960,10,10.86774194
1960,11,5.986666667
1960,12,2.635483871
1961,1,-2.880645161
1961,2,2.657142857
1961,3,7.125806452
1961,4,12.30333333
1961,5,12.88387097
1961,6,18.50333333
1961,7,17.99677419
