"","time","reports"
"1",2197.01923076921,NA
"2",2204.03846153842,NA
"3",2211.05769230772,NA
"4",2218.07692307693,NA
"5",2225.09615384614,NA
"6",2232.11538461535,NA
"7",2239.13461538465,NA
"8",2246.15384615386,NA
"9",2253.17307692307,NA
"10",2260.19230769228,NA
"11",2267.21153846158,NA
"12",2274.23076923079,NA
"13",2281.25,NA
"14",2288.26923076921,NA
"15",2295.28846153842,NA
"16",2302.30769230772,NA
"17",2309.32692307693,NA
"18",2316.34615384614,NA
"19",2323.36538461535,NA
"20",2330.38461538465,NA
"21",2337.40384615386,NA
"22",2344.42307692307,NA
"23",2351.44230769228,NA
"24",2358.46153846158,NA
"25",2365.48076923079,NA
"26",2372.5,NA
"27",2379.51923076921,NA
"28",2386.53846153842,NA
"29",2393.55769230772,NA
"30",2400.57692307693,NA
"31",2407.59615384614,NA
"32",2414.61538461535,NA
"33",2421.63461538465,NA
"34",2428.65384615386,NA
"35",2435.67307692307,NA
"36",2442.69230769228,NA
"37",2449.71153846158,NA
"38",2456.73076923079,NA
"39",2463.75,NA
"40",2470.76923076921,NA
"41",2477.78846153842,NA
"42",2484.80769230772,NA
"43",2491.82692307693,NA
"44",2498.84615384614,NA
"45",2505.86538461535,NA
"46",2512.88461538465,NA
"47",2519.90384615386,NA
"48",2526.92307692307,NA
"49",2533.94230769228,NA
"50",2540.96153846158,NA
"51",2547.98076923079,NA
"52",2555,NA
"53",2562.01923076921,1
"54",2569.03846153842,1
"55",2576.05769230772,1
"56",2583.07692307693,1
"57",2590.09615384614,3
"58",2597.11538461535,1
"59",2604.13461538465,1
"60",2611.15384615386,1
"61",2618.17307692307,1
"62",2625.19230769228,1
"63",2632.21153846158,1
"64",2639.23076923079,3
"65",2646.25,1
"66",2653.26923076921,5
"67",2660.28846153842,1
"68",2667.30769230772,1
"69",2674.32692307693,5
"70",2681.34615384614,5
"71",2688.36538461535,5
"72",2695.38461538465,7
"73",2702.40384615386,5
"74",2709.42307692307,17
"75",2716.44230769228,23
"76",2723.46153846158,3
"77",2730.48076923079,15
"78",2737.5,15
"79",2744.51923076921,7
"80",2751.53846153842,13
"81",2758.55769230772,13
"82",2765.57692307693,5
"83",2772.59615384614,11
"84",2779.61538461535,7
"85",2786.63461538465,5
"86",2793.65384615386,5
"87",2800.67307692307,3
"88",2807.69230769228,1
"89",2814.71153846158,1
"90",2821.73076923079,1
"91",2828.75,1
"92",2835.76923076921,3
"93",2842.78846153842,3
"94",2849.80769230772,1
"95",2856.82692307693,3
"96",2863.84615384614,3
"97",2870.86538461535,3
"98",2877.88461538465,1
"99",2884.90384615386,1
"100",2891.92307692307,1
"101",2898.94230769228,1
"102",2905.96153846158,1
"103",2912.98076923079,1
"104",2920,1
"105",2927.01923076921,1
"106",2934.03846153842,1
"107",2941.05769230772,1
"108",2948.07692307693,1
"109",2955.09615384614,1
"110",2962.11538461535,1
"111",2969.13461538465,1
"112",2976.15384615386,1
"113",2983.17307692307,1
"114",2990.19230769228,1
"115",2997.21153846158,1
"116",3004.23076923079,1
"117",3011.25,1
"118",3018.26923076921,1
"119",3025.28846153842,1
"120",3032.30769230772,3
"121",3039.32692307693,3
