"p","omega","delta","mu_e","mu_ql","mu_el","mu_qn","mu_en","mu_qa","mu_ea","mu_h","beta_nh","beta_hl","beta_hn","tau","lambda_l","lambda_n","lambda_a","alpha","f_l","f_n","f_a","kappa","c","Tf","obsprob","T_min_l","gamma","E0","QL0","EL_s0","EL_i0","QN_s0","QN_i0","EN_s0","EN_i0","QA_s0","QA_i0","EA0","H_s0","H_i0"
2000,21.4491215185497,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.00273972602739726,0.9,0.8,0.8,0.310036320021685,16.9409853513922,0.0869388477783152,0.640219566042727,0.680487374755014,0.930553877419996,0.0624228237449625,0.00802463091121259,0.0870054479584112,0.4,4,4.24886535644531,0.21184008427452,6.6983584647352,11.328125,2.734375,3.515625,54.296875,23.828125,69.140625,66.015625,86.328125,33.203125,70.703125,30.078125,0.470703125,0.474609375
2000,23.6685940766535,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.00273972602739726,0.9,0.8,0.8,0.280574813739,18.749530910173,0.0959059489190278,0.580096231887577,0.618492795417902,0.984427233118423,0.0561854143465587,0.0088536484710473,0.0962017298235447,0.4,4,3.83019348144531,0.190705609771684,6.6983584647352,61.328125,52.734375,53.515625,4.296875,73.828125,19.140625,16.015625,36.328125,83.203125,20.703125,80.078125,0.220703125,0.224609375
2000,20.3393852394978,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.00273972602739726,0.9,0.8,0.8,0.295305566880342,19.6538036895635,0.0914223983486715,0.610157898965152,0.587495505749347,0.903617199570782,0.0593041190457606,0.00761012213129523,0.100799870756111,0.4,4,4.03952941894531,0.201272847023102,6.6983584647352,36.328125,77.734375,28.515625,29.296875,48.828125,94.140625,41.015625,61.328125,58.203125,45.703125,55.078125,0.345703125,0.099609375
2000,22.5588577976016,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.00273972602739726,0.9,0.8,0.8,0.265844060597658,17.8452581307826,0.0824552972079589,0.550034564810002,0.649490085086458,0.95749055526921,0.0655415284441643,0.00843913969112995,0.0916035888909779,0.4,4,4.45820129394531,0.222407321525937,6.6983584647352,86.328125,27.734375,78.515625,79.296875,98.828125,44.140625,91.015625,11.328125,8.203125,95.703125,5.078125,0.095703125,0.349609375
2000,20.8942533790237,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.00273972602739726,0.9,0.8,0.8,0.287940190309671,16.488848961697,0.0981477242042059,0.625188732503939,0.63399144025218,0.970958894193816,0.0608634713953615,0.00906090286100598,0.0939026593572613,0.4,4,4.14419738769531,0.227690940151646,6.6983584647352,23.828125,65.234375,91.015625,91.796875,86.328125,81.640625,3.515625,98.828125,70.703125,83.203125,42.578125,0.158203125,0.162109375
2000,23.1137259371275,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.00273972602739726,0.9,0.8,0.8,0.317401696592356,18.2973945204778,0.0891806230634933,0.56506539834879,0.571996860915069,0.917085538495389,0.0671008807937653,0.00823188530117127,0.0847063774921278,0.4,4,4.56286926269531,0.20655646564881,6.6983584647352,73.828125,15.234375,41.015625,41.796875,36.328125,31.640625,53.515625,48.828125,20.703125,33.203125,92.578125,0.408203125,0.412109375
2000,22.0039896580756,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.00273972602739726,0.9,0.8,0.8,0.273209437168329,19.2016672998683,0.084697072493137,0.655250399581514,0.602994150583624,0.99789557204303,0.0639821760945634,0.00864639408108863,0.0893045184246946,0.4,4,4.35353332519531,0.195989228397393,6.6983584647352,48.828125,40.234375,66.015625,16.796875,61.328125,56.640625,78.515625,73.828125,45.703125,8.203125,67.578125,0.033203125,0.287109375
2000,24.2234622161794,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.00273972602739726,0.9,0.8,0.8,0.302670943451014,17.3931217410874,0.0936641736338496,0.595127065426365,0.664988729920736,0.944022216344603,0.0577447666961596,0.00781737652125391,0.098500800289828,0.4,4,3.93486145019531,0.217123702900228,6.6983584647352,98.828125,90.234375,16.015625,66.796875,11.328125,6.640625,28.515625,23.828125,95.703125,58.203125,17.578125,0.283203125,0.037109375
2000,20.0619511697348,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.00273972602739726,0.9,0.8,0.8,0.321084384877691,18.5234627153254,0.0880597354209042,0.632704149273333,0.672738052337875,0.950756385806906,0.061643147570162,0.00750649493631589,0.0858559127252695,0.4,4,4.51053527832031,0.198631037710247,6.6983584647352,30.078125,58.984375,47.265625,35.546875,5.078125,87.890625,97.265625,42.578125,26.953125,51.953125,36.328125,0.001953125,0.193359375
2000,22.2814237278386,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.00273972602739726,0.9,0.8,0.8,0.291622878595007,16.7149171565446,0.0970268365616169,0.572580815118183,0.610743473000763,0.896883030108479,0.0678805569685657,0.00833551249615061,0.095052194590403,0.4,4,4.09186340332031,0.219765512213083,6.6983584647352,80.078125,8.984375,97.265625,85.546875,55.078125,37.890625,47.265625,92.578125,76.953125,1.953125,86.328125,0.251953125,0.443359375
